checksum_schema,artifact_role,dataset_family,sequence,path,size_bytes,algorithm,digest,digest_origin,local_size_verified,status
isj-input-reference-checksum-v1,calibration,afrl,cemetery,datasets/full_downloads/afrl_hf/camera_imu_parameters/camchain_cave_gennie.yaml,1720,SHA-256,959adcd1ac663b2d4d4e8a365fb52c1cc3ccf804c125b998cda522c303127a23,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,afrl,cemetery,datasets/full_downloads/afrl_hf/camera_imu_parameters/imu.yaml,442,SHA-256,07c9a4377133d6f9ba2d91c29dbcbfbb5d8b070c6005d47fb947ff70a1f236a5,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,aqualoc_archaeology,A10,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml,337,SHA-256,e8ce9ad65d82ae563c676689444abd210f81c362586473c5752ee5f9bf2c32e2,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,aqualoc_archaeology,A10,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml,938,SHA-256,e3aad241432b6619395564224fc39cb64931f17ac9446129c47a1ddf6c7a3ebc,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,aqualoc_archaeology,A10,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml,343,SHA-256,9e7dccbce41a69115155d555b85b0b24af301c4841804a9995151fdfb4101454,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,aqualoc_harbor,H07,datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_calibration_files/harbor_camera_calib.yaml,347,SHA-256,ae329d1599c323e324ff8d375f6aea380b7eead6503a8b46762ca4e06756d6ff,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,aqualoc_harbor,H07,datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_calibration_files/harbor_imu_camera_calib.yaml,796,SHA-256,4d2a58ab9b66e61ac30ad23937c694a3459a8d0876fc0665961b531667aed973,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,aqualoc_harbor,H07,datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_calibration_files/harbor_imu_noises.yaml,343,SHA-256,c16e413f06dfe0a889d29b477917acedc6931675e9390c7fd81068b1118204ae,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,ntnu,mclab_2,datasets/full_downloads/ntnu_hf/calibrations/cam0_cam1_stereo/extrinsics_air/camchain-imucam-stereo-extrinsics-air.yaml,1980,SHA-256,227d57e4dc0d65c3afe6c896ff79d76128ae8056202cbfda37f3b2d0f5b2dfdd,local_file,true,PASS
isj-input-reference-checksum-v1,calibration,ntnu,mclab_2,datasets/full_downloads/ntnu_hf/calibrations/cam0_cam1_stereo/extrinsics_air/imu-stereo-extrinsics-air.yaml,419,SHA-256,d2975478298cb99f0a7d59c02f9c92388218666da496d46b76180e82df785eeb,local_file,true,PASS
