window_id,public_id,source_id,public_observations,first_stamp_ns,last_stamp_ns,observed_span_s,exact_private_termination_reason
coe1_a01_00000_00900,10000000,146,18,1542827792300084192,1542827793998470720,1.698386528,Unknown
coe1_a01_00000_00900,10000001,213,136,1542827792399962400,1542827805897226400,13.497264,Unknown
coe1_a01_00000_00900,10000002,223,21,1542827792399962400,1542827794401007840,2.00104544,Unknown
coe1_a01_00000_00900,10000003,232,126,1542827792399962400,1542827804899135840,12.49917344,Unknown
coe1_a01_00000_00900,10000004,235,191,1542827792399962400,1542827811396023680,18.99606128,Unknown
coe1_a01_00000_00900,10000005,249,56,1542827792499854656,1542827797998942752,5.499088096,Unknown
coe1_a01_00000_00900,10000006,254,9,1542827792499854656,1542827793298631520,0.798776864,Unknown
coe1_a01_00000_00900,10000007,268,196,1542827792499854656,1542827811995852672,19.495998016,Unknown
coe1_a01_00000_00900,10000008,269,17,1542827792499854656,1542827794099987456,1.6001328,Unknown
coe1_a01_00000_00900,10000009,275,2,1542827792499854656,1542827792598849312,0.098994656,Unknown
coe1_a01_00000_00900,10000010,287,114,1542827792499854656,1542827803796814720,11.296960064,Unknown
coe1_a01_00000_00900,10000011,290,107,1542827792499854656,1542827803096917824,10.597063168,Unknown
coe1_a01_00000_00900,10000012,291,119,1542827792499854656,1542827804296807552,11.796952896,Unknown
coe1_a01_00000_00900,10000013,298,1,1542827792499854656,1542827792499854656,0.0,Unknown
coe1_a01_00000_00900,10000014,277,10,1542827792598849312,1542827793499735104,0.900885792,Unknown
coe1_a01_00000_00900,10000015,309,131,1542827792598849312,1542827805595493344,12.996644032,Unknown
coe1_a01_00000_00900,10000016,311,170,1542827792598849312,1542827809497521856,16.898672544,Unknown
coe1_a01_00000_00900,10000017,312,65,1542827792598849312,1542827798998895680,6.400046368,Unknown
coe1_a01_00000_00900,10000018,313,6,1542827792598849312,1542827793098405280,0.499555968,Unknown
coe1_a01_00000_00900,10000019,315,2,1542827792598849312,1542827792698768384,0.099919072,Unknown
coe1_a01_00000_00900,10000020,316,3,1542827792598849312,1542827792798847840,0.199998528,Unknown
coe1_a01_00000_00900,10000021,325,76,1542827792598849312,1542827800098540064,7.499690752,Unknown
coe1_a01_00000_00900,10000022,328,104,1542827792598849312,1542827802897829600,10.298980288,Unknown
coe1_a01_00000_00900,10000023,331,100,1542827792598849312,1542827802498263168,9.899413856,Unknown
coe1_a01_00000_00900,10000024,332,127,1542827792598849312,1542827805196560288,12.597710976,Unknown
coe1_a01_00000_00900,10000025,333,152,1542827792598849312,1542827807696555392,15.09770608,Unknown
coe1_a01_00000_00900,10000026,335,337,1542827792598849312,1542827826194837792,33.59598848,Unknown
coe1_a01_00000_00900,10000027,341,277,1542827792598849312,1542827820194260960,27.595411648,Unknown
coe1_a01_00000_00900,10000028,346,296,1542827792598849312,1542827822093803296,29.494953984,Unknown
coe1_a01_00000_00900,10000029,347,368,1542827792598849312,1542827829293800320,36.694951008,Unknown
coe1_a01_00000_00900,10000030,350,56,1542827792598849312,1542827798097625568,5.498776256,Unknown
coe1_a01_00000_00900,10000031,352,11,1542827792598849312,1542827793598595840,0.999746528,Unknown
coe1_a01_00000_00900,10000032,353,9,1542827792598849312,1542827793398720864,0.799871552,Unknown
coe1_a01_00000_00900,10000033,354,39,1542827792598849312,1542827796399880768,3.801031456,Unknown
coe1_a01_00000_00900,10000034,355,214,1542827792598849312,1542827813897222496,21.298373184,Unknown
coe1_a01_00000_00900,10000035,357,21,1542827792598849312,1542827794598452928,1.999603616,Unknown
coe1_a01_00000_00900,10000036,367,75,1542827792698768384,1542827800098540064,7.39977168,Unknown
coe1_a01_00000_00900,10000037,368,5,1542827792698768384,1542827793098405280,0.399636896,Unknown
coe1_a01_00000_00900,10000038,369,113,1542827792698768384,1542827803896851328,11.198082944,Unknown
coe1_a01_00000_00900,10000039,372,103,1542827792698768384,1542827802897829600,10.199061216,Unknown
coe1_a01_00000_00900,10000040,373,3,1542827792698768384,1542827792899131104,0.20036272,Unknown
coe1_a01_00000_00900,10000041,375,38,1542827792698768384,1542827796399880768,3.701112384,Unknown
coe1_a01_00000_00900,10000042,377,74,1542827792698768384,1542827799997544864,7.29877648,Unknown
coe1_a01_00000_00900,10000043,378,41,1542827792698768384,1542827796698121088,3.999352704,Unknown
coe1_a01_00000_00900,10000044,379,22,1542827792698768384,1542827794800953568,2.102185184,Unknown
coe1_a01_00000_00900,10000045,381,64,1542827792698768384,1542827798998895680,6.300127296,Unknown
coe1_a01_00000_00900,10000046,382,94,1542827792698768384,1542827801998107136,9.299338752,Unknown
coe1_a01_00000_00900,10000047,384,435,1542827792698768384,1542827836091798112,43.393029728,Unknown
coe1_a01_00000_00900,10000048,385,104,1542827792698768384,1542827802997562400,10.298794016,Unknown
coe1_a01_00000_00900,10000049,386,301,1542827792698768384,1542827822694872000,29.996103616,Unknown
coe1_a01_00000_00900,10000050,387,9,1542827792698768384,1542827793499735104,0.80096672,Unknown
coe1_a01_00000_00900,10000051,388,39,1542827792698768384,1542827796498097472,3.799329088,Unknown
coe1_a01_00000_00900,10000052,389,121,1542827792698768384,1542827804697917792,11.999149408,Unknown
coe1_a01_00000_00900,10000053,391,179,1542827792698768384,1542827810496243968,17.797475584,Unknown
coe1_a01_00000_00900,10000054,392,52,1542827792698768384,1542827797798713952,5.099945568,Unknown
coe1_a01_00000_00900,10000055,396,98,1542827792798847840,1542827802498263168,9.699415328,Unknown
coe1_a01_00000_00900,10000056,398,54,1542827792798847840,1542827798097625568,5.298777728,Unknown
coe1_a01_00000_00900,10000057,399,137,1542827792798847840,1542827806396488576,13.597640736,Unknown
coe1_a01_00000_00900,10000058,401,63,1542827792798847840,1542827798998895680,6.20004784,Unknown
coe1_a01_00000_00900,10000059,404,63,1542827792798847840,1542827798998895680,6.20004784,Unknown
coe1_a01_00000_00900,10000060,298,1,1542827792899131104,1542827792899131104,0.0,Unknown
coe1_a01_00000_00900,10000061,330,14,1542827792899131104,1542827794201137728,1.302006624,Unknown
coe1_a01_00000_00900,10000062,409,77,1542827792899131104,1542827800498632224,7.59950112,Unknown
coe1_a01_00000_00900,10000063,414,26,1542827792899131104,1542827795398078304,2.4989472,Unknown
coe1_a01_00000_00900,10000064,418,110,1542827792899131104,1542827803796814720,10.897683616,Unknown
coe1_a01_00000_00900,10000065,419,62,1542827792899131104,1542827798998895680,6.099764576,Unknown
coe1_a01_00000_00900,10000066,420,58,1542827792899131104,1542827798599026496,5.699895392,Unknown
