window_id,run_slug,cell_id,source_arm,backend_role,repeat,execution,feature_bag,feature_bag_sha256,canonical_config,canonical_config_sha256,camera_config,camera_config_sha256,vins_node_sha256,vins_lib_sha256,replay_dir,source_experiment
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,1,REUSED_FROZEN_V2_REPLAY,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat1,EXP-20260904-005
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,2,REUSED_FROZEN_V2_REPLAY,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat2,EXP-20260904-005
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,3,REUSED_FROZEN_V2_REPLAY,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat3,EXP-20260904-005
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,router_splg,learned_active,1,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/features.bag,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/router_splg/repeat1,EXP-20260905-008
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,router_splg,learned_active,2,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/features.bag,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/router_splg/repeat2,EXP-20260905-008
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,router_splg,learned_active,3,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/features.bag,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/router_splg/repeat3,EXP-20260905-008
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,router_splg,matched_classical,1,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/matched_controls/a02_0_900/router_splg/features_matched_gftt.bag,99824c65d8e544a21978f760043cc1cbedf39ea42994692bd81f5cda765c6378,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/matched_gftt_for_router_splg/repeat1,EXP-20260905-008
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,router_splg,matched_classical,2,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/matched_controls/a02_0_900/router_splg/features_matched_gftt.bag,99824c65d8e544a21978f760043cc1cbedf39ea42994692bd81f5cda765c6378,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/matched_gftt_for_router_splg/repeat2,EXP-20260905-008
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,router_splg,matched_classical,3,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/matched_controls/a02_0_900/router_splg/features_matched_gftt.bag,99824c65d8e544a21978f760043cc1cbedf39ea42994692bd81f5cda765c6378,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/matched_gftt_for_router_splg/repeat3,EXP-20260905-008
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,router_xfeat,learned_active,1,NEW_V3_REPLAY,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat/features.bag,536ab12d1536c90419064f08ea8c1ec995a241d37d804dbb5a9005f482a9cf57,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/backend_replays/a02_0_900/router_xfeat/repeat1,EXP-20260905-008
