timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1455212878.5297751,1,0,0,0,0,0,0,0,-1
1455212879.5297751,1,0,0,0,0,0,0,0,-1
1455212880.5297751,1,0,0,0,0,0,0,0,-1
1455212881.5297751,1,0,0,0,0,0,0,0,-1
1455212882.5297751,1,0,0,0,0,0,0,0,-1
1455212883.5297751,1,0,0,0,1,1,1,0,-1
1455212884.5297751,1,0,0,0,1,1,1,0,-1
1455212885.5297751,1,0,0,0,1,1,1,0,-1
1455212886.5297751,1,1,1,1,1,1,1,1,0
1455212887.5297751,1,1,1,1,1,1,1,1,0
1455212888.5297751,1,1,1,1,1,1,1,1,0
1455212889.5297751,1,1,1,1,1,1,1,1,0
1455212890.5297751,1,1,1,1,1,1,1,1,0
1455212891.5297751,1,1,1,1,1,1,1,1,0
1455212892.5297751,1,1,1,1,1,1,1,1,0
1455212893.5297751,1,1,1,1,1,1,1,1,0
1455212894.5297751,1,1,1,1,1,1,1,1,0
1455212895.5297751,1,1,1,1,1,1,1,1,0
1455212896.5297751,1,1,1,1,1,1,1,1,0
1455212897.5297751,1,1,1,1,1,1,1,1,0
1455212898.5297751,1,1,1,1,1,1,1,1,0
1455212899.5297751,1,1,1,1,1,1,1,1,0
1455212900.5297751,0,1,1,1,1,1,1,0,-1
1455212901.5297751,0,1,1,1,1,1,1,0,-1
1455212902.5297751,0,1,1,1,1,1,1,0,-1
1455212903.5297751,0,1,1,1,1,1,1,0,-1
1455212904.5297751,0,1,1,1,1,1,1,0,-1
1455212905.5297751,1,1,1,1,1,1,1,1,1
1455212906.5297751,1,1,1,1,1,1,1,1,1
1455212907.5297751,1,1,1,1,1,1,1,1,1
1455212908.5297751,1,1,1,1,1,1,1,1,1
1455212909.5297751,1,1,1,1,1,1,1,1,1
1455212910.5297751,1,1,1,1,1,1,1,1,1
1455212911.5297751,1,1,1,1,1,1,1,1,1
1455212912.5297751,1,1,1,1,1,1,1,1,1
1455212913.5297751,1,1,1,1,1,1,1,1,1
1455212914.5297751,1,1,1,1,1,1,1,1,1
1455212915.5297751,1,1,1,1,1,1,1,1,1
1455212916.5297751,1,1,1,1,1,1,1,1,1
1455212917.5297751,1,1,1,1,1,1,1,1,1
1455212918.5297751,1,1,1,1,1,1,1,1,1
1455212919.5297751,1,1,1,1,1,1,1,1,1
1455212920.5297751,1,1,1,1,1,1,1,1,1
1455212921.5297751,1,1,1,1,1,1,1,1,1
