timestamp,reference_valid,B1_valid,common_valid,segment_id
1494876524.7238421,1,0,0,-1
1494876524.9238422,1,0,0,-1
1494876525.1238422,1,0,0,-1
1494876525.3238423,1,0,0,-1
1494876525.5238421,1,0,0,-1
1494876525.7238421,1,0,0,-1
1494876525.9238422,1,0,0,-1
1494876526.1238422,1,0,0,-1
1494876526.3238423,1,0,0,-1
1494876526.5238421,1,0,0,-1
1494876526.7238421,1,1,1,0
1494876526.9238422,1,1,1,0
1494876527.1238422,1,1,1,0
1494876527.3238423,1,1,1,0
1494876527.5238421,1,1,1,0
1494876527.7238421,1,1,1,0
1494876527.9238422,1,1,1,0
1494876528.1238422,1,1,1,0
1494876528.3238423,1,1,1,0
1494876528.5238421,1,1,1,0
1494876528.7238421,1,1,1,0
1494876528.9238422,1,1,1,0
1494876529.1238422,1,1,1,0
1494876529.3238423,1,1,1,0
1494876529.5238421,1,1,1,0
1494876529.7238421,1,1,1,0
1494876529.9238422,1,1,1,0
1494876530.1238422,1,1,1,0
1494876530.3238423,1,1,1,0
1494876530.5238421,1,1,1,0
1494876530.7238421,1,1,1,0
1494876530.9238422,1,1,1,0
1494876531.1238422,1,1,1,0
1494876531.3238423,1,1,1,0
1494876531.5238421,1,1,1,0
1494876531.7238421,1,1,1,0
1494876531.9238422,1,1,1,0
1494876532.1238422,1,1,1,0
1494876532.3238423,1,1,1,0
1494876532.5238421,1,1,1,0
1494876532.7238421,1,1,1,0
1494876532.9238422,1,1,1,0
1494876533.1238422,1,1,1,0
1494876533.3238423,1,1,1,0
1494876533.5238421,1,1,1,0
1494876533.7238421,1,1,1,0
1494876533.9238422,1,1,1,0
1494876534.1238422,1,1,1,0
1494876534.3238423,1,1,1,0
1494876534.5238421,1,1,1,0
1494876534.7238421,1,1,1,0
1494876534.9238422,1,1,1,0
1494876535.1238422,1,1,1,0
1494876535.3238423,1,1,1,0
1494876535.5238421,1,1,1,0
1494876535.7238421,1,1,1,0
1494876535.9238422,1,1,1,0
1494876536.1238422,1,1,1,0
1494876536.3238423,1,1,1,0
1494876536.5238421,1,1,1,0
1494876536.7238421,1,1,1,0
1494876536.9238422,1,1,1,0
1494876537.1238422,1,1,1,0
1494876537.3238423,1,1,1,0
1494876537.5238421,1,1,1,0
1494876537.7238421,1,1,1,0
1494876537.9238422,1,1,1,0
1494876538.1238422,1,1,1,0
1494876538.3238423,1,1,1,0
