timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1523966832.6090369,1,0,0,0,0,0,0,0,-1
1523966833.6090369,1,0,0,0,0,0,0,0,-1
1523966834.6090369,1,1,1,1,1,1,1,1,0
1523966835.6090369,1,1,1,1,1,1,1,1,0
1523966836.6090369,1,1,1,1,1,1,1,1,0
1523966837.6090369,1,1,1,1,1,1,1,1,0
1523966838.6090369,1,1,1,1,1,1,1,1,0
1523966839.6090369,1,1,1,1,1,1,1,1,0
1523966840.6090369,1,1,1,1,1,1,1,1,0
1523966841.6090369,1,1,1,1,1,1,1,1,0
1523966842.6090369,1,1,1,1,1,1,1,1,0
1523966843.6090369,1,1,1,1,1,1,1,1,0
1523966844.6090369,1,1,1,1,1,1,1,1,0
1523966845.6090369,1,1,1,1,1,1,1,1,0
1523966846.6090369,1,1,1,1,1,1,1,1,0
1523966847.6090369,1,1,1,1,1,1,1,1,0
1523966848.6090369,1,1,1,1,1,1,1,1,0
1523966849.6090369,1,1,1,1,1,1,1,1,0
1523966850.6090369,1,1,1,1,1,1,1,1,0
1523966851.6090369,1,1,1,1,1,1,1,1,0
1523966852.6090369,1,1,1,1,1,1,1,1,0
1523966853.6090369,1,1,1,1,1,1,1,1,0
1523966854.6090369,1,1,1,1,1,1,1,1,0
1523966855.6090369,1,1,1,1,1,1,1,1,0
1523966856.6090369,1,1,1,1,1,1,1,1,0
1523966857.6090369,1,1,1,1,1,1,1,1,0
1523966858.6090369,1,1,1,1,1,1,1,1,0
1523966859.6090369,1,1,1,1,1,1,1,1,0
1523966860.6090369,1,1,1,1,1,1,1,1,0
1523966861.6090369,1,1,1,1,1,1,1,1,0
1523966862.6090369,1,1,1,1,1,1,1,1,0
1523966863.6090369,1,1,1,1,1,1,1,1,0
1523966864.6090369,1,1,1,1,1,1,1,1,0
1523966865.6090369,1,1,1,1,1,1,1,1,0
1523966866.6090369,1,1,1,1,1,1,1,1,0
1523966867.6090369,1,1,1,1,1,1,1,1,0
1523966868.6090369,1,1,1,1,1,1,1,1,0
1523966869.6090369,1,1,1,1,1,1,1,1,0
1523966870.6090369,1,1,1,1,1,1,1,1,0
1523966871.6090369,1,1,1,1,1,1,1,1,0
1523966872.6090369,1,1,1,1,1,1,1,1,0
1523966873.6090369,1,1,1,1,1,1,1,1,0
1523966874.6090369,1,1,1,1,1,1,1,1,0
1523966875.6090369,1,1,1,1,1,1,1,1,0
1523966876.6090369,1,1,1,1,1,1,1,1,0
