row_type,window_id,run_slug,arm,raw_id,public_id,first_published_output_frame,last_published_output_frame,published_observations,longest_consecutive_publication,publication_frames_json,internal_birth_frame,internal_death_frame,raw_age_at_first_publication,raw_age_at_last_publication,last_recorded_stage_frame,raw_age_at_last_record,source_at_last_record,termination_reason,last_fb,last_ncc,last_quality,backend_received_observations,backend_residual_observations,at_least_four_published_observations,four_observation_note,events_path,events_sha256,terminal_mirror_carried_count,terminal_mirror_carried_never_public_count,terminal_mirror_carried_never_public_ids_json,terminal_capacity_under_frozen_mirror_rule,terminal_capacity_if_only_previously_public_classical_protected,capacity_boundary,baseline_observations,current_observations,missing_observations,missing_frames_json,same_id_reappearance_after_first_missing,future_baseline_lifetime_used_online
learned_lineage,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,734,10000000,2,12,11,11,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Unknown,Unknown,5,25,13,27,xfeat_confirmed,current_source_or_basic_quality_invalid,0.3539920449256897,0.7068070769309998,0.08278170973062515,Unknown,Unknown,True,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a09_6000_6800_continuation_xfeat/lifecycle_events.csv,ca37bb44a8d9ec82a7ded6ba83860f53cd79c6ba583bf9fd64ec20afc117a8db,,,,,,,,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,361,10000000,2,5,4,4,"[2, 3, 4, 5]",Unknown,Unknown,4,10,6,12,xfeat_confirmed,no_newborn_or_vacant_capacity,0.0020093570929020643,0.9727751016616821,0.47678691148757935,Unknown,Unknown,True,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a02_0_900_continuation_xfeat/lifecycle_events.csv,de7b9cde2608d57ccb28466656a1dff9b48b122c5ada37de508b0196af5b405a,350,1,[379],0,1,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,362,10000001,2,4,3,3,"[2, 3, 4]",Unknown,Unknown,4,8,5,10,xfeat_confirmed,no_newborn_or_vacant_capacity,0.0004766998172271997,0.972649097442627,0.44603514671325684,Unknown,Unknown,False,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a02_0_900_continuation_xfeat/lifecycle_events.csv,de7b9cde2608d57ccb28466656a1dff9b48b122c5ada37de508b0196af5b405a,349,2,"[377, 378]",1,3,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,363,10000002,2,3,2,2,"[2, 3]",Unknown,Unknown,4,6,4,8,xfeat_confirmed,no_newborn_or_vacant_capacity,0.0007270376663655043,0.9790600538253784,0.42122796177864075,Unknown,Unknown,False,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a02_0_900_continuation_xfeat/lifecycle_events.csv,de7b9cde2608d57ccb28466656a1dff9b48b122c5ada37de508b0196af5b405a,348,2,"[372, 375]",2,4,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
historical_donor_377_probe,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,104,1,[4],5,False
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,376,10000015,2,5,4,4,"[2, 3, 4, 5]",Unknown,Unknown,3,9,6,11,superpoint_lightglue_confirmed,no_newborn_or_vacant_capacity,0.0008314289734698832,0.9763003587722778,0.4657699167728424,Unknown,Unknown,True,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/lifecycle_events.csv,5279b7f9198e2e61ea707394f1cf42c212adc78043ba544fd053ddeaad514b00,350,1,[379],0,1,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,377,10000016,2,4,3,3,"[2, 3, 4]",Unknown,Unknown,3,7,5,9,superpoint_lightglue_confirmed,no_newborn_or_vacant_capacity,0.000745029014069587,0.9594961404800415,0.4190788269042969,Unknown,Unknown,False,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/lifecycle_events.csv,5279b7f9198e2e61ea707394f1cf42c212adc78043ba544fd053ddeaad514b00,349,2,"[377, 378]",1,3,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,378,10000017,2,3,2,2,"[2, 3]",Unknown,Unknown,3,5,4,7,superpoint_lightglue_confirmed,no_newborn_or_vacant_capacity,0.002067326568067074,0.9584470987319946,0.3882904052734375,Unknown,Unknown,False,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/lifecycle_events.csv,5279b7f9198e2e61ea707394f1cf42c212adc78043ba544fd053ddeaad514b00,348,2,"[372, 375]",2,4,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,379,10000018,2,2,1,1,[2],Unknown,Unknown,3,3,3,5,superpoint_lightglue_confirmed,no_newborn_or_vacant_capacity,0.0041798013262450695,0.9747211337089539,0.37150058150291443,Unknown,Unknown,False,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/lifecycle_events.csv,5279b7f9198e2e61ea707394f1cf42c212adc78043ba544fd053ddeaad514b00,347,4,"[363, 366, 369, 370]",3,7,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,382,10000021,2,2,1,1,[2],Unknown,Unknown,3,3,3,5,superpoint_lightglue_confirmed,no_newborn_or_vacant_capacity,0.0007714747916907072,0.9926357269287109,0.38657209277153015,Unknown,Unknown,False,Count-only diagnostic; not proof of triangulation or residual use.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/lifecycle_events.csv,5279b7f9198e2e61ea707394f1cf42c212adc78043ba544fd053ddeaad514b00,347,4,"[363, 366, 369, 370]",3,7,"Alternative protection is a hypothetical policy, not tested and not no-harm; it would withhold more baseline observations.",,,,,,
