timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1455214195.562829,1,1,1,1,1,1,1,1,0
1455214196.562829,1,1,1,1,1,1,1,1,0
1455214197.562829,1,1,1,1,1,1,1,1,0
1455214198.562829,1,1,1,1,1,1,1,1,0
1455214199.562829,1,1,1,1,1,1,1,1,0
1455214200.562829,1,1,1,1,1,1,1,1,0
1455214201.562829,1,1,1,1,1,1,1,1,0
1455214202.562829,1,1,1,1,1,1,1,1,0
1455214203.562829,1,1,1,1,1,1,1,1,0
1455214204.562829,1,1,1,1,1,1,1,1,0
1455214205.562829,1,1,1,1,1,1,1,1,0
1455214206.562829,1,1,1,1,1,1,1,1,0
1455214207.562829,1,1,1,1,1,1,1,1,0
1455214208.562829,1,1,1,1,1,1,1,1,0
1455214209.562829,1,1,1,1,1,1,1,1,0
1455214210.562829,1,1,1,1,1,1,1,1,0
1455214211.562829,1,1,1,1,1,1,1,1,0
1455214212.562829,1,1,1,1,1,1,1,1,0
1455214213.562829,1,1,1,1,1,1,1,1,0
1455214214.562829,1,1,1,1,1,1,1,1,0
1455214215.562829,1,1,1,1,1,1,1,1,0
1455214216.562829,1,1,1,1,1,1,1,1,0
1455214217.562829,1,1,1,1,1,1,1,1,0
1455214218.562829,1,1,1,1,1,1,1,1,0
1455214219.562829,1,1,1,1,1,1,1,1,0
1455214220.562829,1,1,1,1,1,1,1,1,0
1455214221.562829,1,1,1,1,1,1,1,1,0
