timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1372687658.1680324,1,0,0,0,0,-1
1372687658.2680323,1,0,0,0,0,-1
1372687658.3680325,1,0,0,0,0,-1
1372687658.4680324,1,0,0,0,0,-1
1372687658.5680325,1,0,0,0,0,-1
1372687658.6680324,1,0,0,0,0,-1
1372687658.7680323,1,0,0,0,0,-1
1372687658.8680325,1,0,0,0,0,-1
1372687658.9680324,1,0,0,0,0,-1
1372687659.0680325,1,0,0,0,0,-1
1372687659.1680324,1,0,0,0,0,-1
1372687659.2680323,1,0,0,0,0,-1
1372687659.3680325,1,0,0,0,0,-1
1372687659.4680324,1,0,0,0,0,-1
1372687659.5680325,1,0,0,0,0,-1
1372687659.6680324,1,0,0,0,0,-1
1372687659.7680323,1,0,0,0,0,-1
1372687659.8680325,1,0,0,0,0,-1
1372687659.9680324,1,0,0,0,0,-1
1372687660.0680325,1,0,0,0,0,-1
1372687660.1680324,1,0,0,0,0,-1
1372687660.2680323,1,0,0,0,0,-1
1372687660.3680325,1,0,0,0,0,-1
1372687660.4680324,1,0,0,0,0,-1
1372687660.5680325,1,0,0,0,0,-1
1372687660.6680324,1,0,0,0,0,-1
1372687660.7680323,1,0,0,0,0,-1
1372687660.8680325,1,0,0,0,0,-1
1372687660.9680324,1,0,0,0,0,-1
1372687661.0680325,1,0,0,0,0,-1
1372687661.1680324,1,0,0,0,0,-1
1372687661.2680323,1,0,0,0,0,-1
1372687661.3680325,1,0,0,0,0,-1
1372687661.4680324,1,0,0,0,0,-1
1372687661.5680325,1,0,0,0,0,-1
1372687661.6680324,1,0,0,0,0,-1
1372687661.7680323,1,0,0,0,0,-1
1372687661.8680325,1,0,0,0,0,-1
1372687661.9680324,1,0,0,0,0,-1
1372687662.0680325,1,0,0,0,0,-1
1372687662.1680324,1,0,0,0,0,-1
1372687662.2680323,1,0,0,0,0,-1
1372687662.3680325,1,0,0,0,0,-1
1372687662.4680324,1,0,0,0,0,-1
1372687662.5680325,1,0,0,0,0,-1
1372687662.6680324,1,0,0,0,0,-1
1372687662.7680323,1,0,0,0,0,-1
1372687662.8680325,1,0,0,0,0,-1
1372687662.9680324,1,0,0,0,0,-1
1372687663.0680325,1,0,0,0,0,-1
1372687663.1680324,1,0,0,0,0,-1
1372687663.2680323,1,0,0,0,0,-1
1372687663.3680325,1,0,0,0,0,-1
1372687663.4680324,1,0,0,0,0,-1
1372687663.5680325,1,0,0,0,0,-1
1372687663.6680324,1,0,0,0,0,-1
1372687663.7680323,1,0,0,0,0,-1
1372687663.8680325,1,0,0,0,0,-1
1372687663.9680324,1,0,0,0,0,-1
1372687664.0680325,1,0,0,0,0,-1
1372687664.1680324,1,0,0,0,0,-1
1372687664.2680323,1,0,0,0,0,-1
1372687664.3680325,1,0,0,0,0,-1
1372687664.4680324,1,0,0,0,0,-1
1372687664.5680325,1,0,0,0,0,-1
1372687664.6680324,1,0,0,0,0,-1
1372687664.7680323,1,0,0,0,0,-1
1372687664.8680325,1,0,0,0,0,-1
1372687664.9680324,1,0,0,0,0,-1
1372687665.0680325,1,0,0,0,0,-1
1372687665.1680324,1,0,0,0,0,-1
1372687665.2680323,1,0,0,0,0,-1
1372687665.3680325,1,0,0,0,0,-1
