window_id,run_slug,role,repeat,expected_config_sha256,actual_config_sha256,identical
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,2,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,3,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,2,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,3,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,2,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,3,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,2,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,3,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,B,1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,B,2,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,B,3,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,2,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,3,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,2,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,3,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,2,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,3,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,True
