window_id,run_slug,cell_id,source_arm,backend_role,repeat,execution,feature_bag,feature_bag_sha256,canonical_config,canonical_config_sha256,camera_config,camera_config_sha256,vins_node_sha256,vins_lib_sha256,replay_dir,source_experiment
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,klt,fresh_klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a09_6000_6800/vins_same_backend.yaml,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a09_6000_6800/aqualoc_archaeo09_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat1,EXP-20260904-005
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,klt,fresh_klt,2,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a09_6000_6800/vins_same_backend.yaml,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a09_6000_6800/aqualoc_archaeo09_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat2,EXP-20260904-005
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,klt,fresh_klt,3,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a09_6000_6800/vins_same_backend.yaml,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a09_6000_6800/aqualoc_archaeo09_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat3,EXP-20260904-005
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat1,EXP-20260904-005
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,2,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat2,EXP-20260904-005
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,3,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/aqualoc_archaeo02_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat3,EXP-20260904-005
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_bus_s180_d045/vins_same_backend.yaml,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_bus_s180_d045/afrl_cave_cam0_pinhole.yaml,5856ee4b261d5b0d67021ef81ad0a0c5e8e6aa885184c68591530224b3645aee,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat1,EXP-20260904-005
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,2,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_bus_s180_d045/vins_same_backend.yaml,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_bus_s180_d045/afrl_cave_cam0_pinhole.yaml,5856ee4b261d5b0d67021ef81ad0a0c5e8e6aa885184c68591530224b3645aee,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat2,EXP-20260904-005
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,3,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_bus_s180_d045/vins_same_backend.yaml,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_bus_s180_d045/afrl_cave_cam0_pinhole.yaml,5856ee4b261d5b0d67021ef81ad0a0c5e8e6aa885184c68591530224b3645aee,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat3,EXP-20260904-005
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a08_2700_3600/vins_same_backend.yaml,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a08_2700_3600/aqualoc_archaeo08_pinhole.yaml,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat1,EXP-20260904-005
