timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1542831048.0680089,1,0,0,0,0,0,0,0,-1
1542831049.0680089,1,0,0,0,0,0,0,0,-1
1542831050.0680089,1,1,1,1,1,1,1,1,0
1542831051.0680089,1,1,1,1,1,1,1,1,0
1542831052.0680089,1,1,1,1,1,1,1,1,0
1542831053.0680089,1,1,1,1,1,1,1,1,0
1542831054.0680089,1,1,1,1,1,1,1,1,0
1542831055.0680089,1,1,1,1,1,1,1,1,0
1542831056.0680089,1,1,1,1,1,1,1,1,0
1542831057.0680089,1,1,1,1,1,1,1,1,0
1542831058.0680089,1,1,1,1,1,1,1,1,0
1542831059.0680089,1,1,1,1,1,1,1,1,0
1542831060.0680089,1,1,1,1,1,1,1,1,0
1542831061.0680089,1,1,1,1,1,1,1,1,0
1542831062.0680089,1,1,1,1,1,1,1,1,0
1542831063.0680089,1,1,1,1,1,1,1,1,0
1542831064.0680089,1,1,1,1,1,1,1,1,0
1542831065.0680089,1,1,1,1,1,1,1,1,0
1542831066.0680089,1,1,1,1,1,1,1,1,0
1542831067.0680089,1,1,1,1,1,1,1,1,0
1542831068.0680089,1,1,1,1,1,1,1,1,0
1542831069.0680089,1,1,1,1,1,1,1,1,0
1542831070.0680089,1,1,1,1,1,1,1,1,0
1542831071.0680089,1,1,1,1,1,1,1,1,0
1542831072.0680089,1,1,1,1,1,1,1,1,0
1542831073.0680089,1,1,1,1,1,1,1,1,0
1542831074.0680089,1,1,1,1,1,1,1,1,0
1542831075.0680089,1,1,1,1,1,1,1,1,0
1542831076.0680089,1,1,1,1,1,1,1,1,0
1542831077.0680089,1,1,1,1,1,1,1,1,0
1542831078.0680089,1,1,1,1,1,1,1,1,0
1542831079.0680089,1,1,1,1,1,1,1,1,0
1542831080.0680089,1,1,1,1,1,1,1,1,0
1542831081.0680089,1,1,1,1,1,1,1,1,0
1542831082.0680089,1,1,1,1,1,1,1,1,0
1542831083.0680089,1,1,1,1,1,1,1,1,0
1542831084.0680089,1,1,1,1,1,1,1,1,0
1542831085.0680089,1,1,1,1,1,1,1,1,0
1542831086.0680089,1,1,1,1,1,1,1,1,0
1542831087.0680089,1,1,1,1,1,1,1,1,0
1542831088.0680089,1,1,1,1,1,1,1,1,0
1542831089.0680089,1,1,1,1,1,1,1,1,0
1542831090.0680089,1,1,1,1,1,1,1,1,0
1542831091.0680089,1,1,1,1,1,1,1,1,0
