timestamp,reference_valid,full_valid,protected_valid,klt_valid,common_valid,segment_id
1700605840.1954019,0,0,0,0,0,-1
1700605840.2954018,0,0,0,0,0,-1
1700605840.395402,0,0,0,0,0,-1
1700605840.4954019,0,0,0,0,0,-1
1700605840.595402,0,0,0,0,0,-1
1700605840.6954019,0,0,0,0,0,-1
1700605840.7954018,0,0,0,0,0,-1
1700605840.895402,0,0,0,0,0,-1
1700605840.9954019,0,0,0,0,0,-1
1700605841.095402,0,0,0,0,0,-1
1700605841.1954019,0,0,0,0,0,-1
1700605841.2954018,0,0,0,0,0,-1
1700605841.395402,0,0,0,0,0,-1
1700605841.4954019,0,0,0,0,0,-1
1700605841.595402,0,0,0,0,0,-1
1700605841.6954019,0,0,0,0,0,-1
1700605841.7954018,0,0,0,0,0,-1
1700605841.895402,0,0,0,0,0,-1
1700605841.9954019,0,0,0,0,0,-1
1700605842.095402,0,0,0,0,0,-1
1700605842.1954019,0,0,0,0,0,-1
1700605842.2954018,0,0,0,0,0,-1
1700605842.395402,0,0,0,0,0,-1
1700605842.4954019,0,0,0,0,0,-1
1700605842.595402,0,0,0,0,0,-1
1700605842.6954019,0,0,0,0,0,-1
1700605842.7954018,0,0,0,0,0,-1
1700605842.895402,0,0,0,0,0,-1
1700605842.9954019,0,0,0,0,0,-1
1700605843.095402,0,1,1,1,0,-1
1700605843.1954019,0,1,1,1,0,-1
1700605843.2954018,0,1,1,1,0,-1
1700605843.395402,0,1,1,1,0,-1
1700605843.4954019,0,1,1,1,0,-1
1700605843.595402,0,1,1,1,0,-1
1700605843.6954019,0,1,1,1,0,-1
1700605843.7954018,0,1,1,1,0,-1
1700605843.895402,0,1,1,1,0,-1
1700605843.9954019,0,1,1,1,0,-1
1700605844.095402,0,1,1,1,0,-1
1700605844.1954019,0,1,1,1,0,-1
1700605844.2954018,0,1,1,1,0,-1
1700605844.395402,0,1,1,1,0,-1
1700605844.4954019,0,1,1,1,0,-1
1700605844.595402,0,1,1,1,0,-1
1700605844.6954019,0,1,1,1,0,-1
1700605844.7954018,0,1,1,1,0,-1
1700605844.895402,0,1,1,1,0,-1
1700605844.9954019,0,1,1,1,0,-1
1700605845.095402,0,1,1,1,0,-1
1700605845.1954019,0,1,1,1,0,-1
1700605845.2954018,0,1,1,1,0,-1
1700605845.395402,0,1,1,1,0,-1
1700605845.4954019,0,1,1,1,0,-1
1700605845.595402,1,1,1,1,1,0
1700605845.6954019,1,1,1,1,1,0
1700605845.7954018,1,1,1,1,1,0
1700605845.895402,1,1,1,1,1,0
1700605845.9954019,1,1,1,1,1,0
1700605846.095402,1,1,1,1,1,0
1700605846.1954019,1,1,1,1,1,0
1700605846.2954018,1,1,1,1,1,0
1700605846.395402,1,1,1,1,1,0
1700605846.4954019,1,1,1,1,1,0
1700605846.595402,1,1,1,1,1,0
1700605846.6954019,1,1,1,1,1,0
1700605846.7954018,1,1,1,1,1,0
1700605846.895402,1,1,1,1,1,0
1700605846.9954019,1,1,1,1,1,0
1700605847.095402,1,1,1,1,1,0
1700605847.1954019,1,1,1,1,1,0
1700605847.2954018,1,1,1,1,1,0
1700605847.395402,1,1,1,1,1,0
1700605847.4954019,1,1,1,1,1,0
1700605847.595402,1,1,1,1,1,0
1700605847.6954019,1,1,1,1,1,0
1700605847.7954018,1,1,1,1,1,0
1700605847.895402,1,1,1,1,1,0
1700605847.9954019,1,1,1,1,1,0
1700605848.095402,1,1,1,1,1,0
1700605848.1954019,1,1,1,1,1,0
1700605848.2954018,1,1,1,1,1,0
1700605848.395402,1,1,1,1,1,0
1700605848.4954019,1,1,1,1,1,0
1700605848.595402,1,1,1,1,1,0
1700605848.6954019,1,1,1,1,1,0
1700605848.7954018,1,1,1,1,1,0
1700605848.895402,1,1,1,1,1,0
1700605848.9954019,1,1,1,1,1,0
1700605849.095402,1,1,1,1,1,0
1700605849.1954019,1,1,1,1,1,0
1700605849.2954018,1,1,1,1,1,0
1700605849.395402,1,1,1,1,1,0
1700605849.4954019,1,1,1,1,1,0
1700605849.595402,1,1,1,1,1,0
1700605849.6954019,1,1,1,1,1,0
1700605849.7954018,1,1,1,1,1,0
1700605849.895402,1,1,1,1,1,0
1700605849.9954019,1,1,1,1,1,0
1700605850.095402,1,1,1,1,1,0
1700605850.1954019,1,1,1,1,1,0
1700605850.2954018,1,1,1,1,1,0
1700605850.395402,1,1,1,1,1,0
1700605850.4954019,1,1,1,1,1,0
1700605850.595402,1,1,1,1,1,0
1700605850.6954019,1,1,1,1,1,0
1700605850.7954018,1,1,1,1,1,0
1700605850.895402,1,1,1,1,1,0
1700605850.9954019,1,1,1,1,1,0
1700605851.095402,1,1,1,1,1,0
1700605851.1954019,1,1,1,1,1,0
1700605851.2954018,1,1,1,1,1,0
1700605851.395402,1,1,1,1,1,0
1700605851.4954019,1,1,1,1,1,0
1700605851.595402,1,1,1,1,1,0
1700605851.6954019,1,1,1,1,1,0
1700605851.7954018,1,1,1,1,1,0
1700605851.895402,1,1,1,1,1,0
1700605851.9954019,1,1,1,1,1,0
1700605852.095402,1,1,1,1,1,0
1700605852.1954019,1,1,1,1,1,0
1700605852.2954018,1,1,1,1,1,0
1700605852.395402,1,1,1,1,1,0
1700605852.4954019,1,1,1,1,1,0
1700605852.595402,1,1,1,1,1,0
1700605852.6954019,1,1,1,1,1,0
1700605852.7954018,1,1,1,1,1,0
1700605852.895402,1,1,1,1,1,0
1700605852.9954019,1,1,1,1,1,0
1700605853.095402,1,1,1,1,1,0
1700605853.1954019,1,1,1,1,1,0
1700605853.2954018,1,1,1,1,1,0
1700605853.395402,1,1,1,1,1,0
1700605853.4954019,1,1,1,1,1,0
1700605853.595402,1,1,1,1,1,0
1700605853.6954019,1,1,1,1,1,0
1700605853.7954018,1,1,1,1,1,0
1700605853.895402,1,1,1,1,1,0
1700605853.9954019,1,1,1,1,1,0
1700605854.095402,1,1,1,1,1,0
1700605854.1954019,1,1,1,1,1,0
1700605854.2954018,1,1,1,1,1,0
1700605854.395402,1,1,1,1,1,0
1700605854.4954019,1,1,1,1,1,0
1700605854.595402,1,1,1,1,1,0
1700605854.6954019,1,1,1,1,1,0
1700605854.7954018,1,1,1,1,1,0
1700605854.895402,1,1,1,1,1,0
1700605854.9954019,1,1,1,1,1,0
1700605855.095402,1,1,1,1,1,0
1700605855.1954019,1,1,1,1,1,0
1700605855.2954018,1,1,1,1,1,0
1700605855.395402,1,1,1,1,1,0
1700605855.4954019,1,1,1,1,1,0
1700605855.595402,1,1,1,1,1,0
1700605855.6954019,1,1,1,1,1,0
1700605855.7954018,1,1,1,1,1,0
1700605855.895402,1,1,1,1,1,0
1700605855.9954019,1,1,1,1,1,0
1700605856.095402,1,1,1,1,1,0
1700605856.1954019,1,1,1,1,1,0
1700605856.2954018,1,1,1,1,1,0
1700605856.395402,1,1,1,1,1,0
1700605856.4954019,1,1,1,1,1,0
1700605856.595402,1,1,1,1,1,0
1700605856.6954019,1,1,1,1,1,0
1700605856.7954018,1,1,1,1,1,0
1700605856.895402,1,1,1,1,1,0
1700605856.9954019,1,1,1,1,1,0
1700605857.095402,1,1,1,1,1,0
1700605857.1954019,1,1,1,1,1,0
1700605857.2954018,1,1,1,1,1,0
1700605857.395402,1,1,1,1,1,0
1700605857.4954019,1,1,1,1,1,0
1700605857.595402,1,1,1,1,1,0
1700605857.6954019,1,1,1,1,1,0
1700605857.7954018,1,1,1,1,1,0
1700605857.895402,1,1,1,1,1,0
1700605857.9954019,1,1,1,1,1,0
1700605858.095402,1,1,1,1,1,0
1700605858.1954019,1,1,1,1,1,0
1700605858.2954018,1,1,1,1,1,0
1700605858.395402,1,1,1,1,1,0
1700605858.4954019,1,1,1,1,1,0
1700605858.595402,1,1,1,1,1,0
1700605858.6954019,1,1,1,1,1,0
1700605858.7954018,1,1,1,1,1,0
1700605858.895402,1,1,1,1,1,0
1700605858.9954019,1,1,1,1,1,0
1700605859.095402,1,1,1,1,1,0
1700605859.1954019,1,1,1,1,1,0
1700605859.2954018,1,1,1,1,1,0
1700605859.395402,1,1,1,1,1,0
1700605859.4954019,1,1,1,1,1,0
1700605859.595402,1,1,1,1,1,0
1700605859.6954019,1,1,1,1,1,0
1700605859.7954018,1,1,1,1,1,0
1700605859.895402,1,1,1,1,1,0
1700605859.9954019,1,1,1,1,1,0
1700605860.095402,1,1,1,1,1,0
1700605860.1954019,1,1,1,1,1,0
1700605860.2954018,1,1,1,1,1,0
1700605860.395402,1,1,1,1,1,0
1700605860.4954019,1,1,1,1,1,0
1700605860.595402,1,1,1,1,1,0
1700605860.6954019,1,1,1,1,1,0
1700605860.7954018,1,1,1,1,1,0
1700605860.895402,1,1,1,1,1,0
1700605860.9954019,1,1,1,1,1,0
1700605861.095402,1,1,1,1,1,0
1700605861.1954019,1,1,1,1,1,0
1700605861.2954018,1,1,1,1,1,0
1700605861.395402,1,1,1,1,1,0
1700605861.4954019,1,1,1,1,1,0
1700605861.595402,1,1,1,1,1,0
1700605861.6954019,1,1,1,1,1,0
1700605861.7954018,1,1,1,1,1,0
1700605861.895402,1,1,1,1,1,0
1700605861.9954019,1,1,1,1,1,0
1700605862.095402,1,1,1,1,1,0
1700605862.1954019,1,1,1,1,1,0
1700605862.2954018,1,1,1,1,1,0
1700605862.395402,1,1,1,1,1,0
1700605862.4954019,1,1,1,1,1,0
1700605862.595402,1,1,1,1,1,0
1700605862.6954019,1,1,1,1,1,0
1700605862.7954018,1,1,1,1,1,0
1700605862.895402,1,1,1,1,1,0
1700605862.9954019,1,1,1,1,1,0
1700605863.095402,1,1,1,1,1,0
1700605863.1954019,1,1,1,1,1,0
1700605863.2954018,1,1,1,1,1,0
1700605863.395402,1,1,1,1,1,0
1700605863.4954019,1,1,1,1,1,0
1700605863.595402,1,1,1,1,1,0
1700605863.6954019,1,1,1,1,1,0
1700605863.7954018,1,1,1,1,1,0
1700605863.895402,1,1,1,1,1,0
1700605863.9954019,1,1,1,1,1,0
1700605864.095402,1,1,1,1,1,0
1700605864.1954019,1,1,1,1,1,0
1700605864.2954018,1,1,1,1,1,0
1700605864.395402,1,1,1,1,1,0
1700605864.4954019,1,1,1,1,1,0
1700605864.595402,1,1,1,1,1,0
1700605864.6954019,1,1,1,1,1,0
