pair_id,sequence,case,track_id,previous_x,previous_y,truth_x,truth_y,visible,B_failed,B_x,B_y,C_x,C_y,S_x,S_y,B_mask,C_common,C_production,S_common,C_fb,S_fb,S_info_0,S_info_1,S_info_2,S_info_3
A02_0_small,A02,small,0,642.0,321.0,645.1423349476114,317.6205600833478,True,False,645.1399536132812,317.6158447265625,645.1217651367188,317.604248046875,645.1506004333496,317.60282921791077,True,True,False,True,0.000997789472916981,0.01255552237682626,-5.798755168914795,5.779365062713623,3.18685245513916,-0.03151807188987732
A02_0_small,A02,small,1,698.0,385.0,701.6987009111009,381.1294371715459,True,False,701.6867065429688,381.1064758300781,701.6826782226562,381.1111755371094,701.7047305107117,381.12694931030273,True,True,False,True,0.0006133957288281793,0.004887879049403578,-6.025387287139893,6.003283500671387,3.2012975215911865,-0.031738921999931335
A02_0_small,A02,small,2,614.0,243.0,616.4627313329414,239.86787307829692,True,False,616.468505859375,239.88201904296875,616.4924926757812,239.88897705078125,616.4652390480042,239.83964586257935,True,True,False,True,0.0012694175375850263,0.012598501103600016,-6.267559051513672,6.254086494445801,3.3376169204711914,-0.0318855382502079
A02_0_small,A02,small,3,666.0,262.0,668.6265555067475,258.41336977060075,True,False,668.6365356445312,258.424560546875,668.6566772460938,258.3939208984375,668.6342127323151,258.3818233013153,True,True,False,True,0.0014300994279614235,0.01335678552398678,-6.086403846740723,6.068456172943115,3.291299343109131,-0.03383226692676544
A02_0_small,A02,small,4,770.0,265.0,772.6487751119165,260.5056958479624,True,False,772.6295166015625,260.5339050292969,772.6367797851562,260.515380859375,772.6436941623688,260.4646587371826,True,True,False,True,0.0017477808915132267,0.035183991956753834,-5.693422317504883,5.679656028747559,3.1711161136627197,-0.03139793872833252
A02_0_small,A02,small,5,735.0,280.0,737.781005837146,275.810553436368,True,False,737.7728271484375,275.79547119140625,737.76513671875,275.8205261230469,737.7802336215973,275.7759175300598,True,True,False,True,0.0008262320782886282,0.024443055198780705,-5.781924247741699,5.768133640289307,3.256497621536255,-0.035159025341272354
A02_0_small,A02,small,6,716.0,394.0,719.7765543457414,389.97201684015266,True,False,719.80419921875,389.9742431640625,719.7904663085938,389.9868469238281,719.7841100692749,389.96875190734863,True,True,False,True,0.000457763671875,0.00413559266377201,-6.097535133361816,6.076936721801758,3.2297258377075195,-0.03004026785492897
A02_0_small,A02,small,7,793.0,198.0,795.0632214640013,193.30753668620028,True,False,795.0505981445312,193.30177307128906,795.0553588867188,193.30345153808594,795.0654308795929,193.25066328048706,True,True,False,True,7.62939453125e-05,0.021513225545444936,-6.158298492431641,6.1437668800354,3.2532050609588623,-0.02870216779410839
A02_0_small,A02,small,8,597.0,204.0,599.1230437564141,201.0177091822666,True,False,599.1546020507812,201.0207977294922,599.150634765625,201.00650024414062,599.1243646144867,200.99165201187134,True,True,False,True,0.00079345703125,0.012717593407569788,-6.521897315979004,6.49891471862793,3.395472764968872,-0.031257834285497665
A02_0_small,A02,small,9,622.0,454.0,626.3037257076118,450.7900265608501,True,False,626.2941284179688,450.7888488769531,626.292236328125,450.7962951660156,626.3138084411621,450.80274868011475,True,True,False,True,0.00037251451464031073,0.017566743672477434,-6.032423973083496,6.010969638824463,3.2513322830200195,-0.034911803901195526
A02_0_small,A02,small,10,681.0,322.0,684.1495764826126,318.2801871219754,True,False,684.15283203125,318.2884826660156,684.1399536132812,318.26519775390625,684.1515245437622,318.2630863189697,True,True,False,True,0.0007720404443770458,0.010425508086419266,-5.993000507354736,5.975149154663086,3.270780086517334,-0.031579189002513885
A02_0_small,A02,small,11,692.0,414.0,695.9519989021688,410.18069215339705,True,False,695.9435424804688,410.15313720703125,695.9703979492188,410.1471862792969,695.96284532547,410.1825017929077,True,True,False,True,0.0008143105507889608,0.013654640720504842,-6.109091281890869,6.096305847167969,3.238898992538452,-0.029377665370702744
A02_0_small,A02,small,12,655.0,302.0,657.9760357729766,298.5078385836497,True,False,657.9816284179688,298.5299072265625,658.0130615234375,298.5223388671875,657.9801833629608,298.48382544517517,True,True,False,True,0.00018310546875,0.010291347300464099,-5.873835563659668,5.853625297546387,3.2278904914855957,-0.033157408237457275
A02_0_small,A02,small,13,780.0,385.0,783.695578602363,380.4138612606792,True,False,783.7024536132812,380.417724609375,783.71630859375,380.4202880859375,783.6967453956604,380.400062084198,True,True,False,True,0.0009751309392499059,0.01777925403520568,-5.862079620361328,5.848311901092529,3.1701035499572754,-0.02832477167248726
A02_0_small,A02,small,14,742.0,340.0,745.3043314284977,335.7471830717297,True,False,745.3280639648438,335.7537536621094,745.3341064453125,335.73553466796875,745.3074717521667,335.7284049987793,True,True,False,True,0.0004443426446094066,0.01960670871037339,-6.209982872009277,6.199274063110352,3.307516574859619,-0.03126468509435654
A02_0_small,A02,small,15,655.0,494.0,659.6515305886644,490.5005278119706,True,False,659.671630859375,490.48931884765625,659.6771850585938,490.5035705566406,659.6601238250732,490.5066092014313,True,True,False,True,0.001078527651798846,0.012924945806425628,-5.268823146820068,5.2503557205200195,3.126032829284668,-0.04209582880139351
A02_0_small,A02,small,16,570.0,297.0,572.9356396350302,294.2497844856906,True,False,572.9256591796875,294.2149658203125,572.9263916015625,294.2109375,572.9294874668121,294.2316424846649,True,True,False,True,0.00013647875839232116,0.012536928522996958,-6.141996383666992,6.119762420654297,3.239964723587036,-0.03088231571018696
A02_0_small,A02,small,17,819.0,166.0,820.7829823277218,161.0818652251891,True,False,820.8006591796875,161.08509826660156,820.794921875,161.08267211914062,820.8003853559494,161.02456045150757,True,True,False,True,0.0005033087921896558,0.02241917553309678,-6.729927062988281,6.713215351104736,3.4751157760620117,-0.030725251883268356
A02_0_small,A02,small,18,712.0,482.0,716.5446417773417,478.00357221179326,True,False,716.515869140625,477.9804382324219,716.4865112304688,478.00860595703125,716.5478801727295,478.01519298553467,True,True,False,True,0.0010416289163742683,0.006280551872814585,-5.701621055603027,5.684086799621582,3.20981502532959,-0.03306303918361664
A02_0_small,A02,small,19,661.0,555.0,666.1836207924503,551.4458459058948,True,False,666.1559448242188,551.4612426757812,666.1759643554688,551.468994140625,666.1998519897461,551.4458558559418,True,True,False,True,0.0007374905989742781,0.029961704516170348,-5.627902984619141,5.602138042449951,3.2379791736602783,-0.049095138907432556
A02_0_small,A02,small,20,693.0,180.0,694.9099515186135,176.1808756208826,True,False,694.873291015625,176.1955108642578,694.8829956054688,176.2125701904297,694.922548532486,176.13116765022278,True,True,False,True,0.001454715683620006,0.008570928330393307,-6.493195533752441,6.480191707611084,3.391775131225586,-0.031276993453502655
A02_0_small,A02,small,21,595.0,333.0,598.2488429895759,330.03025032854146,True,False,598.2542114257812,330.01953125,598.237548828125,330.0284729003906,598.2503972053528,330.0191822052002,True,True,False,True,0.00160558428197826,0.01469174639329928,-6.070865154266357,6.048778057098389,3.21919584274292,-0.030005481094121933
A02_0_small,A02,small,22,763.0,315.0,766.0853684253859,310.56487774965956,True,False,766.087646484375,310.55517578125,766.0818481445312,310.5624084472656,766.079980134964,310.53786182403564,True,True,False,True,0.0014962952480628983,0.031530823443006804,-6.029130935668945,6.019272804260254,3.275012254714966,-0.03143848478794098
A02_0_small,A02,small,23,576.0,416.0,579.9738688977217,413.1928941173368,True,False,579.9590454101562,413.1773986816406,579.960205078125,413.1852722167969,579.980473279953,413.20195031166077,True,True,False,True,0.0009784679896167846,0.021248254213664868,-5.9173383712768555,5.90106201171875,3.200679302215576,-0.03065798059105873
A02_0_small,A02,small,24,732.0,414.0,735.9504758247357,409.8316307334621,True,False,735.9630126953125,409.8435363769531,735.967041015625,409.8253479003906,735.9570069313049,409.8311972618103,True,True,False,True,0.0010593600438055287,0.005630200091870761,-6.154616832733154,6.1441545486450195,3.2533016204833984,-0.028672123327851295
A02_0_small,A02,small,25,592.0,120.0,593.3902051592298,117.0645403223681,True,False,593.384521484375,117.03772735595703,593.4066772460938,117.05106353759766,593.3968342542648,117.04478645324707,True,True,False,True,0.0017713508860585643,0.016636444791976394,-6.501617431640625,6.486306667327881,3.408144950866699,-0.030229857191443443
A02_0_small,A02,small,26,689.0,251.0,691.5296878467414,247.21307830043224,True,False,691.5296020507812,247.21475219726562,691.52978515625,247.20574951171875,691.5364484786987,247.17595267295837,True,True,False,True,0.0006518557544950509,0.0072232015820822455,-6.1305646896362305,6.118107795715332,3.307499885559082,-0.032413311302661896
A02_0_small,A02,small,27,708.0,278.0,710.7645808434168,274.04624604869576,True,False,710.7781372070312,274.054931640625,710.7907104492188,274.0675964355469,710.7676227092743,274.01547384262085,True,True,False,True,0.00031861286953462374,0.01643151785143351,-5.799880027770996,5.787386894226074,3.2667267322540283,-0.035148926079273224
A02_0_small,A02,small,28,808.0,370.0,811.5636144156842,365.17008942076217,True,False,811.56396484375,365.1768798828125,811.5552978515625,365.21734619140625,811.556649684906,365.1546769142151,True,True,False,True,0.001685112022983218,0.034354555216616574,-5.835953712463379,5.826899528503418,3.1312637329101562,-0.02593480981886387
A02_0_small,A02,small,29,666.0,239.0,668.4258451902849,235.4142455401248,True,False,668.4256591796875,235.39199829101562,668.4059448242188,235.39430236816406,668.4327325820923,235.38109135627747,True,True,False,True,0.0010850919615210588,0.019971970002547672,-6.302083492279053,6.284109592437744,3.32932448387146,-0.031682904809713364
A02_0_small,A02,small,30,637.0,172.0,638.8422715430329,168.66986622427817,True,False,638.878173828125,168.6545867919922,638.8909912109375,168.63223266601562,638.8522424697876,168.63774490356445,True,True,False,True,0.0015560972636696731,0.022457928714826016,-6.551025390625,6.533924102783203,3.4211697578430176,-0.031329330056905746
A02_0_small,A02,small,31,561.0,471.0,565.4543995041697,468.3216979183418,True,False,565.3990478515625,468.283447265625,565.4437866210938,468.32135009765625,565.4559211730957,468.3301110267639,True,True,False,True,0.0037556464679934162,0.01588319525497377,-5.880753993988037,5.867462635040283,3.2889416217803955,-0.037613190710544586
A02_0_small,A02,small,32,605.0,349.0,608.3880867881916,345.94237574258443,True,False,608.3842163085938,345.9651184082031,608.36572265625,345.9504089355469,608.3920617103577,345.9327549934387,True,True,False,True,0.0011850883690763916,0.012951775995673983,-6.001206874847412,5.989890098571777,3.214878797531128,-0.02936042658984661
A02_0_small,A02,small,33,622.0,435.0,626.1379215331426,431.79075002263085,True,False,626.1163940429688,431.779052734375,626.1307983398438,431.807861328125,626.1492881774902,431.7999818325043,True,True,False,True,0.0010750680513799155,0.021812999982147835,-5.983087539672852,5.9684906005859375,3.2142739295959473,-0.029834773391485214
