schema_version,protocol_version,dataset_family,sequence,window_index,window_start_s,window_end_s,absolute_start_s,absolute_end_s,evaluation_rate_hz,max_reference_gap_s,grid_count,supported_grid_count,coverage,worst_bracket_gap_s,reference_support_pass,outcome_boundary
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,0,0.0,45.0,1494876479.7215545,1494876524.7215545,5.0,0.5,226,225,0.995575221238938,0.2385392189025879,false,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,1,45.0,90.0,1494876524.7215545,1494876569.7215545,5.0,0.5,226,226,1.0,0.16123557090759277,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,2,90.0,135.0,1494876569.7215545,1494876614.7215545,5.0,0.5,226,144,0.6371681415929203,21.671921968460083,false,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,3,135.0,180.0,1494876614.7215545,1494876659.7215545,5.0,0.5,226,199,0.8805309734513275,21.671921968460083,false,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,4,180.0,225.0,1494876659.7215545,1494876704.7215545,5.0,0.5,226,226,1.0,0.23833894729614258,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,5,225.0,270.0,1494876704.7215545,1494876749.7215545,5.0,0.5,226,226,1.0,0.16124725341796875,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,6,270.0,315.0,1494876749.7215545,1494876794.7215545,5.0,0.5,226,226,1.0,0.23874211311340332,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,7,315.0,360.0,1494876794.7215545,1494876839.7215545,5.0,0.5,226,226,1.0,0.16130375862121582,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,8,360.0,405.0,1494876839.7215545,1494876884.7215545,5.0,0.5,226,203,0.8982300884955752,3.5049798488616943,false,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v1,isj-window-selection-v2,afrl,bus_outside,9,405.0,450.0,1494876884.7215545,1494876929.7215545,5.0,0.5,226,213,0.9424778761061947,1.91371488571167,false,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
