schema_version,protocol_version,dataset_family,sequence,window_index,window_start_s,window_end_s,absolute_start_s,absolute_end_s,evaluation_rate_hz,max_reference_gap_s,grid_count,supported_grid_count,coverage,supported_span_s,worst_bracket_gap_s,reference_support_pass,reference_support_reason,outcome_boundary
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,0,0.0,45.0,1494876479.7215545,1494876524.7215545,5.0,0.5,226,225,0.995575221238938,44.799999952316284,0.2385392189025879,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,1,45.0,90.0,1494876524.7215545,1494876569.7215545,5.0,0.5,226,226,1.0,45.0,0.16123557090759277,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,2,90.0,135.0,1494876569.7215545,1494876614.7215545,5.0,0.5,226,144,0.6371681415929203,28.59999990463257,21.671921968460083,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,3,135.0,180.0,1494876614.7215545,1494876659.7215545,5.0,0.5,226,199,0.8805309734513275,39.59999990463257,21.671921968460083,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,4,180.0,225.0,1494876659.7215545,1494876704.7215545,5.0,0.5,226,226,1.0,45.0,0.23833894729614258,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,5,225.0,270.0,1494876704.7215545,1494876749.7215545,5.0,0.5,226,226,1.0,45.0,0.16124725341796875,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,6,270.0,315.0,1494876749.7215545,1494876794.7215545,5.0,0.5,226,226,1.0,45.0,0.23874211311340332,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,7,315.0,360.0,1494876794.7215545,1494876839.7215545,5.0,0.5,226,226,1.0,45.0,0.16130375862121582,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,8,360.0,405.0,1494876839.7215545,1494876884.7215545,5.0,0.5,226,203,0.8982300884955752,45.0,3.5049798488616943,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,9,405.0,450.0,1494876884.7215545,1494876929.7215545,5.0,0.5,226,213,0.9424778761061947,45.0,1.91371488571167,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,10,450.0,495.0,1494876929.7215545,1494876974.7215545,5.0,0.5,226,147,0.6504424778761062,45.0,15.850178956985474,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,bus_outside,11,495.0,540.0,1494876974.7215545,1494877019.7215545,5.0,0.5,226,226,1.0,45.0,0.1611800193786621,true,PASS_G0_REFERENCE_ONLY,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,0,0.0,45.0,1532199344.5634074,1532199389.5634074,5.0,0.5,226,92,0.40707964601769914,44.799999952316284,1.0447423458099365,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,1,45.0,90.0,1532199389.5634074,1532199434.5634074,5.0,0.5,226,127,0.5619469026548672,44.799999952316284,1.0441527366638184,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,2,90.0,135.0,1532199434.5634074,1532199479.5634074,5.0,0.5,226,76,0.336283185840708,44.0,1.289858102798462,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,3,135.0,180.0,1532199479.5634074,1532199524.5634074,5.0,0.5,226,113,0.5,41.60000014305115,1.1921124458312988,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,4,180.0,225.0,1532199524.5634074,1532199569.5634074,5.0,0.5,226,18,0.07964601769911504,40.0,1.390000820159912,false,REFERENCE_POSES_LT_30;REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,5,225.0,270.0,1532199569.5634074,1532199614.5634074,5.0,0.5,226,32,0.1415929203539823,35.60000014305115,1.4411365985870361,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,6,270.0,315.0,1532199614.5634074,1532199659.5634074,5.0,0.5,226,27,0.11946902654867257,43.0,1.3920493125915527,false,REFERENCE_POSES_LT_30;REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,7,315.0,360.0,1532199659.5634074,1532199704.5634074,5.0,0.5,226,113,0.5,42.200000047683716,1.3413596153259277,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,8,360.0,405.0,1532199704.5634074,1532199749.5634074,5.0,0.5,226,58,0.25663716814159293,28.600000143051147,1.5411088466644287,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,9,405.0,450.0,1532199749.5634074,1532199794.5634074,5.0,0.5,226,26,0.11504424778761062,27.0,1.3432934284210205,false,REFERENCE_POSES_LT_30;REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,10,450.0,495.0,1532199794.5634074,1532199839.5634074,5.0,0.5,226,24,0.10619469026548672,25.59999990463257,1.590970516204834,false,REFERENCE_POSES_LT_30;REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,11,495.0,540.0,1532199839.5634074,1532199884.5634074,5.0,0.5,226,63,0.27876106194690264,41.200000047683716,1.590970516204834,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-reference-window-support-v2,isj-window-selection-v2,afrl,cave_gennie,12,540.0,585.0,1532199884.5634074,1532199929.5634074,5.0,0.5,226,99,0.43805309734513276,41.799999952316284,1.3911025524139404,false,REFERENCE_COVERAGE_LT_0P70,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
