run_slug,arm,frame,stamp_ns,KLT,candidates,total,backbone_exact
a02_0_900,B,0,1542828791787420320,350,0,350,True
a02_0_900,B,1,1542828791887907424,350,0,350,True
a02_0_900,B,2,1542828791986278080,350,0,350,True
a02_0_900,B,3,1542828792085880800,350,0,350,True
a02_0_900,B,4,1542828792185715008,350,0,350,True
a02_0_900,B,5,1542828792285738432,350,0,350,True
a02_0_900,B,6,1542828792385894688,350,0,350,True
a02_0_900,B,7,1542828792486760928,350,0,350,True
a02_0_900,B,8,1542828792586125056,350,0,350,True
a02_0_900,B,9,1542828792686903616,350,0,350,True
a02_0_900,B,10,1542828792786086144,350,0,350,True
a02_0_900,B,11,1542828792886711936,350,0,350,True
a02_0_900,B,12,1542828792985474784,350,0,350,True
a02_0_900,B,13,1542828793085816608,350,0,350,True
a02_0_900,B,14,1542828793187301664,350,0,350,True
a02_0_900,B,15,1542828793287069632,350,0,350,True
a02_0_900,B,16,1542828793385457248,350,0,350,True
a02_0_900,B,17,1542828793485996032,350,0,350,True
a02_0_900,B,18,1542828793586734048,350,0,350,True
a02_0_900,B,19,1542828793686769152,350,0,350,True
a02_0_900,B,20,1542828793786838688,350,0,350,True
a02_0_900,B,21,1542828793885469920,350,0,350,True
a02_0_900,B,22,1542828793987484416,350,0,350,True
a02_0_900,B,23,1542828794086120608,350,0,350,True
a02_0_900,B,24,1542828794186209408,350,0,350,True
a02_0_900,B,25,1542828794285788960,350,0,350,True
a02_0_900,B,26,1542828794385869856,350,0,350,True
a02_0_900,B,27,1542828794486746528,350,0,350,True
a02_0_900,B,28,1542828794585545056,350,0,350,True
a02_0_900,B,29,1542828794685281504,350,0,350,True
a02_0_900,B,30,1542828794786022816,350,0,350,True
a02_0_900,B,31,1542828794885428704,350,0,350,True
a02_0_900,B,32,1542828794985348224,350,0,350,True
a02_0_900,B,33,1542828795085280960,350,0,350,True
a02_0_900,B,34,1542828795185515296,350,0,350,True
a02_0_900,B,35,1542828795285241600,350,0,350,True
a02_0_900,B,36,1542828795385611072,350,0,350,True
a02_0_900,B,37,1542828795485613920,350,0,350,True
a02_0_900,B,38,1542828795586263200,350,0,350,True
a02_0_900,B,39,1542828795687301120,350,0,350,True
a02_0_900,B,40,1542828795786227840,350,0,350,True
a02_0_900,B,41,1542828795885157152,350,0,350,True
a02_0_900,B,42,1542828795985605920,350,0,350,True
a02_0_900,B,43,1542828796086257152,350,0,350,True
a02_0_900,B,44,1542828796186056128,350,0,350,True
a02_0_900,B,45,1542828796286353888,350,0,350,True
a02_0_900,B,46,1542828796386499712,350,0,350,True
a02_0_900,B,47,1542828796485305984,350,0,350,True
a02_0_900,B,48,1542828796586597408,350,0,350,True
a02_0_900,B,49,1542828796684708320,350,0,350,True
a02_0_900,B,50,1542828796785357120,350,0,350,True
a02_0_900,B,51,1542828796885379552,350,0,350,True
a02_0_900,B,52,1542828796985753792,350,0,350,True
a02_0_900,B,53,1542828797085101472,350,0,350,True
a02_0_900,B,54,1542828797185506976,350,0,350,True
a02_0_900,B,55,1542828797284864128,350,0,350,True
a02_0_900,B,56,1542828797385079104,350,0,350,True
a02_0_900,B,57,1542828797484950848,350,0,350,True
a02_0_900,B,58,1542828797585064576,350,0,350,True
a02_0_900,B,59,1542828797687016064,350,0,350,True
a02_0_900,B,60,1542828797785240800,350,0,350,True
a02_0_900,B,61,1542828797885096832,350,0,350,True
a02_0_900,B,62,1542828797985646944,350,0,350,True
a02_0_900,B,63,1542828798085155552,350,0,350,True
a02_0_900,B,64,1542828798186728928,350,0,350,True
a02_0_900,B,65,1542828798287862400,350,0,350,True
a02_0_900,B,66,1542828798386794112,350,0,350,True
a02_0_900,B,67,1542828798485806144,350,0,350,True
a02_0_900,B,68,1542828798586650016,350,0,350,True
a02_0_900,B,69,1542828798684585632,350,0,350,True
a02_0_900,B,70,1542828798785983776,350,0,350,True
a02_0_900,B,71,1542828798885092768,350,0,350,True
a02_0_900,B,72,1542828798984731552,350,0,350,True
a02_0_900,B,73,1542828799084977024,350,0,350,True
a02_0_900,B,74,1542828799185905856,350,0,350,True
a02_0_900,B,75,1542828799285307104,350,0,350,True
a02_0_900,B,76,1542828799385725312,350,0,350,True
a02_0_900,B,77,1542828799486270560,350,0,350,True
a02_0_900,B,78,1542828799585671456,350,0,350,True
a02_0_900,B,79,1542828799685681856,350,0,350,True
a02_0_900,B,80,1542828799785180416,350,0,350,True
a02_0_900,B,81,1542828799884381536,350,0,350,True
a02_0_900,B,82,1542828799983998112,350,0,350,True
a02_0_900,B,83,1542828800086122848,350,0,350,True
a02_0_900,B,84,1542828800185006720,350,0,350,True
a02_0_900,B,85,1542828800285759232,350,0,350,True
a02_0_900,B,86,1542828800384531936,350,0,350,True
a02_0_900,B,87,1542828800484270976,350,0,350,True
a02_0_900,B,88,1542828800586803488,350,0,350,True
a02_0_900,B,89,1542828800684190688,350,0,350,True
a02_0_900,B,90,1542828800784488032,350,0,350,True
a02_0_900,B,91,1542828800884568032,350,0,350,True
a02_0_900,B,92,1542828800985651168,350,0,350,True
a02_0_900,B,93,1542828801085918400,350,0,350,True
a02_0_900,B,94,1542828801184686784,350,0,350,True
a02_0_900,B,95,1542828801284452736,350,0,350,True
a02_0_900,B,96,1542828801384415488,350,0,350,True
a02_0_900,B,97,1542828801484363584,350,0,350,True
a02_0_900,B,98,1542828801584727168,350,0,350,True
a02_0_900,B,99,1542828801684024384,350,0,350,True
a02_0_900,B,100,1542828801785507968,350,0,350,True
a02_0_900,B,101,1542828801884606336,350,0,350,True
a02_0_900,B,102,1542828801983931616,350,0,350,True
a02_0_900,B,103,1542828802084640288,350,0,350,True
a02_0_900,B,104,1542828802185129600,350,0,350,True
a02_0_900,B,105,1542828802284486720,350,0,350,True
a02_0_900,B,106,1542828802384555552,350,0,350,True
a02_0_900,B,107,1542828802485222304,350,0,350,True
a02_0_900,B,108,1542828802584492832,350,0,350,True
a02_0_900,B,109,1542828802686515936,350,0,350,True
a02_0_900,B,110,1542828802784137408,350,0,350,True
a02_0_900,B,111,1542828802884917408,350,0,350,True
a02_0_900,B,112,1542828802985213408,350,0,350,True
a02_0_900,B,113,1542828803084063520,350,0,350,True
a02_0_900,B,114,1542828803184079552,350,0,350,True
a02_0_900,B,115,1542828803286079392,350,0,350,True
a02_0_900,B,116,1542828803385457760,350,0,350,True
a02_0_900,B,117,1542828803484141536,350,0,350,True
a02_0_900,B,118,1542828803585788256,350,0,350,True
a02_0_900,B,119,1542828803683806528,350,0,350,True
a02_0_900,B,120,1542828803783630528,350,0,350,True
a02_0_900,B,121,1542828803884373856,350,0,350,True
a02_0_900,B,122,1542828803983692544,350,0,350,True
a02_0_900,B,123,1542828804083727872,350,0,350,True
a02_0_900,B,124,1542828804184198304,350,0,350,True
a02_0_900,B,125,1542828804285169888,350,0,350,True
a02_0_900,B,126,1542828804384005888,350,0,350,True
a02_0_900,B,127,1542828804484213664,350,0,350,True
a02_0_900,B,128,1542828804583860960,350,0,350,True
a02_0_900,B,129,1542828804683823616,350,0,350,True
a02_0_900,B,130,1542828804784039008,350,0,350,True
a02_0_900,B,131,1542828804885893152,350,0,350,True
a02_0_900,B,132,1542828804985018240,350,0,350,True
a02_0_900,B,133,1542828805083899264,350,0,350,True
a02_0_900,B,134,1542828805185181280,350,0,350,True
a02_0_900,B,135,1542828805283946144,350,0,350,True
a02_0_900,B,136,1542828805384145888,350,0,350,True
a02_0_900,B,137,1542828805483711584,350,0,350,True
a02_0_900,B,138,1542828805584199392,350,0,350,True
a02_0_900,B,139,1542828805683341952,350,0,350,True
a02_0_900,B,140,1542828805783738368,350,0,350,True
a02_0_900,B,141,1542828805883636256,350,0,350,True
a02_0_900,B,142,1542828805983668160,350,0,350,True
a02_0_900,B,143,1542828806083948704,350,0,350,True
a02_0_900,B,144,1542828806185211232,350,0,350,True
a02_0_900,B,145,1542828806285370656,350,0,350,True
a02_0_900,B,146,1542828806383948256,350,0,350,True
a02_0_900,B,147,1542828806483209824,350,0,350,True
a02_0_900,B,148,1542828806583452000,350,0,350,True
a02_0_900,B,149,1542828806683826976,350,0,350,True
a02_0_900,B,150,1542828806784657600,350,0,350,True
a02_0_900,B,151,1542828806883240832,350,0,350,True
a02_0_900,B,152,1542828806984041632,350,0,350,True
a02_0_900,B,153,1542828807083803264,350,0,350,True
a02_0_900,B,154,1542828807183826080,350,0,350,True
a02_0_900,B,155,1542828807283355712,350,0,350,True
a02_0_900,B,156,1542828807385362016,350,0,350,True
a02_0_900,B,157,1542828807483947456,350,0,350,True
a02_0_900,B,158,1542828807584564672,350,0,350,True
a02_0_900,B,159,1542828807683655680,350,0,350,True
a02_0_900,B,160,1542828807784621312,350,0,350,True
a02_0_900,B,161,1542828807885100224,350,0,350,True
a02_0_900,B,162,1542828807984591744,350,0,350,True
a02_0_900,B,163,1542828808084277664,350,0,350,True
a02_0_900,B,164,1542828808184804224,350,0,350,True
a02_0_900,B,165,1542828808283486848,350,0,350,True
a02_0_900,B,166,1542828808384356288,350,0,350,True
a02_0_900,B,167,1542828808483105440,350,0,350,True
a02_0_900,B,168,1542828808583324672,350,0,350,True
a02_0_900,B,169,1542828808683744000,350,0,350,True
a02_0_900,B,170,1542828808783052224,350,0,350,True
a02_0_900,B,171,1542828808883109856,350,0,350,True
a02_0_900,B,172,1542828808983374848,350,0,350,True
a02_0_900,B,173,1542828809083100800,350,0,350,True
a02_0_900,B,174,1542828809182886688,350,0,350,True
a02_0_900,B,175,1542828809284126336,350,0,350,True
a02_0_900,B,176,1542828809382926176,350,0,350,True
a02_0_900,B,177,1542828809483512992,350,0,350,True
a02_0_900,B,178,1542828809582892448,350,0,350,True
a02_0_900,B,179,1542828809683072896,350,0,350,True
a02_0_900,B,180,1542828809784055776,350,0,350,True
a02_0_900,B,181,1542828809883913920,350,0,350,True
a02_0_900,B,182,1542828809984093088,350,0,350,True
a02_0_900,B,183,1542828810082704320,350,0,350,True
a02_0_900,B,184,1542828810184941664,350,0,350,True
a02_0_900,B,185,1542828810283912512,350,0,350,True
a02_0_900,B,186,1542828810383456096,350,0,350,True
a02_0_900,B,187,1542828810483770208,350,0,350,True
a02_0_900,B,188,1542828810582970112,350,0,350,True
a02_0_900,B,189,1542828810683535616,350,0,350,True
a02_0_900,B,190,1542828810785127648,350,0,350,True
a02_0_900,B,191,1542828810883114336,350,0,350,True
a02_0_900,B,192,1542828810983301184,350,0,350,True
a02_0_900,B,193,1542828811083853984,350,0,350,True
a02_0_900,B,194,1542828811182820992,350,0,350,True
a02_0_900,B,195,1542828811283038848,350,0,350,True
a02_0_900,B,196,1542828811382559616,350,0,350,True
a02_0_900,B,197,1542828811485163936,350,0,350,True
a02_0_900,B,198,1542828811582489472,350,0,350,True
a02_0_900,B,199,1542828811682625184,350,0,350,True
a02_0_900,B,200,1542828811782648768,350,0,350,True
a02_0_900,B,201,1542828811883868352,350,0,350,True
a02_0_900,B,202,1542828811982661472,350,0,350,True
a02_0_900,B,203,1542828812082464480,350,0,350,True
a02_0_900,B,204,1542828812184951552,350,0,350,True
a02_0_900,B,205,1542828812283717248,350,0,350,True
a02_0_900,B,206,1542828812382446208,350,0,350,True
a02_0_900,B,207,1542828812483581248,350,0,350,True
a02_0_900,B,208,1542828812582382432,350,0,350,True
a02_0_900,B,209,1542828812683126304,350,0,350,True
a02_0_900,B,210,1542828812784078848,350,0,350,True
a02_0_900,B,211,1542828812883826720,350,0,350,True
a02_0_900,B,212,1542828812982459328,350,0,350,True
a02_0_900,B,213,1542828813083592608,350,0,350,True
a02_0_900,B,214,1542828813182401792,350,0,350,True
a02_0_900,B,215,1542828813282842848,350,0,350,True
a02_0_900,B,216,1542828813383468544,350,0,350,True
a02_0_900,B,217,1542828813482184800,350,0,350,True
a02_0_900,B,218,1542828813582579488,350,0,350,True
a02_0_900,B,219,1542828813682197088,350,0,350,True
a02_0_900,B,220,1542828813783519264,350,0,350,True
a02_0_900,B,221,1542828813884392832,350,0,350,True
a02_0_900,B,222,1542828813982201376,350,0,350,True
a02_0_900,B,223,1542828814083160096,350,0,350,True
a02_0_900,B,224,1542828814182046912,350,0,350,True
a02_0_900,B,225,1542828814282399136,350,0,350,True
a02_0_900,B,226,1542828814382424096,350,0,350,True
a02_0_900,B,227,1542828814484796608,350,0,350,True
a02_0_900,B,228,1542828814582469216,350,0,350,True
a02_0_900,B,229,1542828814681838240,350,0,350,True
a02_0_900,B,230,1542828814783351232,350,0,350,True
a02_0_900,B,231,1542828814881941568,350,0,350,True
a02_0_900,B,232,1542828814982199136,350,0,350,True
