timestamp,reference_valid,B1_CONSTQ_valid,XFEATBIRTH_RAWLK_valid,common_valid,segment_id
1542829016.7004354,1,0,0,0,-1
1542829017.7004354,1,0,0,0,-1
1542829018.7004354,1,1,0,0,-1
1542829019.7004354,1,1,1,1,0
1542829020.7004354,1,1,1,1,0
1542829021.7004354,1,1,1,1,0
1542829022.7004354,1,1,1,1,0
1542829023.7004354,1,1,1,1,0
1542829024.7004354,1,1,1,1,0
1542829025.7004354,1,1,1,1,0
1542829026.7004354,1,1,1,1,0
1542829027.7004354,1,1,1,1,0
1542829028.7004354,1,1,1,1,0
1542829029.7004354,1,1,1,1,0
1542829030.7004354,1,1,1,1,0
1542829031.7004354,1,1,1,1,0
1542829032.7004354,1,1,1,1,0
1542829033.7004354,1,1,1,1,0
1542829034.7004354,1,1,1,1,0
1542829035.7004354,1,1,1,1,0
1542829036.7004354,1,1,1,1,0
1542829037.7004354,1,1,1,1,0
1542829038.7004354,1,1,1,1,0
1542829039.7004354,1,1,1,1,0
1542829040.7004354,1,1,1,1,0
1542829041.7004354,1,1,1,1,0
1542829042.7004354,1,1,1,1,0
1542829043.7004354,1,1,1,1,0
1542829044.7004354,1,1,1,1,0
1542829045.7004354,1,1,1,1,0
1542829046.7004354,1,1,1,1,0
1542829047.7004354,1,1,1,1,0
1542829048.7004354,1,1,1,1,0
1542829049.7004354,1,1,1,1,0
1542829050.7004354,1,1,1,1,0
1542829051.7004354,1,1,1,1,0
1542829052.7004354,1,1,1,1,0
1542829053.7004354,1,1,1,1,0
1542829054.7004354,1,1,1,1,0
1542829055.7004354,1,1,1,1,0
1542829056.7004354,1,1,1,1,0
1542829057.7004354,1,1,1,1,0
1542829058.7004354,1,1,1,1,0
1542829059.7004354,1,1,1,1,0
1542829060.7004354,1,1,1,1,0
