start_frame,end_frame,samples,texture_median,quality_median,grid_texture_median,flat_region_median,degradation_median
0,400,4,0.4786782945905413,0.5553764714868819,0.4375,0.5625,0.4446235285131181
400,800,4,0.47469375814710346,0.5528003774762336,0.3541666666666667,0.6458333333333333,0.4471996225237665
800,1200,4,0.6044103418077742,0.6159676243293257,0.4375,0.5625,0.3840323756706743
1200,1600,4,0.500485897064209,0.5733435256252521,0.375,0.625,0.4266564743747479
1600,2000,4,0.5604874747140067,0.6099083416015194,0.4791666666666667,0.5208333333333333,0.3900916583984806
2000,2400,4,0.5431955882481166,0.6078618531128511,0.3958333333333333,0.6041666666666667,0.3921381468871489
2400,2800,4,0.5045482260840279,0.5807384364299633,0.3958333333333333,0.6041666666666667,0.4192615635700368
2800,3200,4,0.3911760023662022,0.5310470953898555,0.33333333333333337,0.6666666666666666,0.4689529046101445
3200,3600,4,0.32775698389325825,0.49661789114753696,0.2708333333333333,0.7291666666666667,0.503382108852463
3600,4000,4,0.31102553435734337,0.47677435167095494,0.25,0.75,0.5232256483290451
4000,4400,4,0.3047700268881661,0.47631891519336933,0.14583333333333331,0.8541666666666667,0.5236810848066307
4400,4800,4,0.3031042388507298,0.4660426733067744,0.16666666666666669,0.8333333333333333,0.5339573266932256
4800,5200,4,0.27191541024616783,0.452251121190674,0.08333333333333337,0.9166666666666666,0.547748878809326
5200,5600,4,0.33289484466825214,0.48420159348908576,0.22916666666666663,0.7708333333333334,0.5157984065109142
5600,6000,4,0.7407034465244838,0.687494290272933,0.6875,0.3125,0.31250570972706704
6000,6400,4,0.89267441204616,0.7610213804085413,0.6875,0.3125,0.23897861959145877
6400,6800,4,0.9829389027186803,0.8021983974493537,0.7083333333333333,0.2916666666666667,0.19780160255064627
6800,7200,4,1.0,0.8290359372418412,0.8333333333333334,0.16666666666666666,0.17096406275815884
7200,7600,4,1.0,0.8140678383681841,0.7708333333333333,0.22916666666666669,0.18593216163181586
7600,8000,4,0.810096263885498,0.7286874735763524,0.625,0.375,0.2713125264236475
8000,8400,4,0.7354504040309361,0.7121356844525435,0.6875,0.3125,0.28786431554745645
8400,8800,4,0.6871250697544643,0.6978601866844487,0.6666666666666667,0.3333333333333333,0.30213981331555123
8800,9200,4,0.7088605335780553,0.6967344679451111,0.6458333333333334,0.35416666666666663,0.303265532054889
9200,9600,4,0.5354102679661342,0.5970414607454999,0.6041666666666666,0.39583333333333337,0.4029585392545001
9600,10000,4,0.38225914750780376,0.5198211226814764,0.3958333333333333,0.6041666666666667,0.4801788773185236
10000,10400,4,0.4229659182684762,0.5379509465469814,0.45833333333333337,0.5416666666666666,0.4620490534530186
10400,10800,4,0.6069676535470145,0.5937829140315641,0.6875,0.3125,0.40621708596843586
10800,11200,4,0.5919334547860282,0.5847969103987736,0.625,0.375,0.4152030896012265
11200,11600,4,0.6210123641150338,0.6156302434960641,0.6458333333333333,0.3541666666666667,0.38436975650393596
11600,12000,4,0.7694812161581857,0.6868055394565823,0.6666666666666667,0.3333333333333333,0.3131944605434177
12000,12400,4,0.7165180955614363,0.6645390501147233,0.6458333333333334,0.35416666666666663,0.33546094988527675
12400,12800,4,0.6586471966334752,0.6663641600394417,0.6666666666666667,0.3333333333333333,0.3336358399605584
12800,13200,4,1.0,0.8186126234008735,0.8125,0.1875,0.18138737659912646
13200,13600,4,0.9282253129141671,0.7679020219382533,0.7291666666666666,0.27083333333333337,0.2320979780617467
13600,14000,4,0.9117952755519323,0.7525391167265101,0.75,0.25,0.24746088327348986
14000,14400,3,0.9355966023036412,0.7528072283446405,0.7916666666666666,0.20833333333333334,0.24719277165535947
