event_index,frame_index,timestamp_s,master_pool_hash,candidate_pool_hash,classical_pool_hash,selector_config_hash,selector_model_hash,model_fit_hash,model_fit_seed,n_eligible,n_active_before,n_t_qg,overlap_h_qg,overlap_r_qg,overlap_q_qg,overlap_g_qg,h_topn,r_topn,q_topn,g_topn,qg_topn,h_order,r_order,q_order,g_order,qg_order,selection_calibration_ms,selection_kernel_ms,selection_combined_ms,selection_active,frame_chain_hash_r,frame_chain_hash_h,frame_chain_hash_q,frame_chain_hash_g,frame_chain_hash_qg,exported_dose_qg,exported_observations_qg,matching_shortfall_r,matching_shortfall_h,matching_shortfall_q,matching_shortfall_g
0,2400,120.0,2a63b97149ba4ed9e5390be8a9e4f8b7a860e803c76f2c2fce905944bfe58fb1,2a63b97149ba4ed9e5390be8a9e4f8b7a860e803c76f2c2fce905944bfe58fb1,eb2b1ce0ddcff43c8aa4ebf28b398386b9fbeb411928a72f97d471855a4a4d65,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,47da4af0ee7b49b4345b149737468dd272be4a60dc340620cb7f41d30ef5059f,20260730,0,0,0,,,,,,,,,,,,,,,0.0,10.61749504879117,10.61749504879117,0,c822283fca32f252ce822dec9901762b91704e6f8dad0ad12078b0215058e42d,d2c19e3be434d88b2ddab1884b545a2f2bca5a094ffa552f32bf70d2a58c4216,8fd6aaf1f7915af9381ad025651e1035b6e091d8c242ffa6454b70afc879010e,377401c3991ca9269d9b8a221fdb1483aa6e6943f11692ff349d8f5315d00c03,385f68158f52f59a375eef9bd59382c68aa566bba4b29977635fc86bddb575b2,342,342,0,0,0,0
1,2401,120.05,c42e37b181459df25b3d70e69aab09c3a69353e10d4fd339638b311fd451b788,c42e37b181459df25b3d70e69aab09c3a69353e10d4fd339638b311fd451b788,a9ae428058a64efc78676da0ef9c0cdd4ecb2cbf0b3949a87bef527c377add50,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,6d34c2588a7bf53b15060c451b31592d7f60d6ef03351cbfa5eb833d4594dd07,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.9024857841432095,7.9024857841432095,0,6cef87632af0ecea6c28957b68c8e1808bcaccd723c300c0f3b56aef2fb477f0,57d354f1a34c4dce912ebbfb0beb9f19c1a90aed8900581c22df740aaf500cf2,7986b1b59e915da0920bb1bb83be6e4394a092b4f29a5360eeef6b7417475b9c,84396dfe9028c8aeeb70e04372c5dde840aaa484821928cff1f5147ca68cf0a6,32d6037fb17cc11cac6112da3148ed607666e59efbdbcafd7dd1d34924886690,342,342,0,0,0,0
2,2402,120.1,3a8005cf3457f15d40a42aa0812d8ae1facdae413d7abb669353dc45f5387b8f,3a8005cf3457f15d40a42aa0812d8ae1facdae413d7abb669353dc45f5387b8f,a254c61e60cb240e5fa7cca8997a311f42ce8c3086ac022b062cae124869ce82,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,40863fda4529994516ad8ce70f550f0915d1b8ce174803ddbb0b7c51050318d1,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.545074913650751,7.545074913650751,0,f6ecd5d660522e5ab5ee3a4524784f7d7c106bc9d151cb0745fbef595564d9fa,c68c31a2a6f20f33baba5b08f1182b40321bc7467db5309ba78d8147c7c1def7,391bc98c78242e3495807a2280f253477eb5830f1e46a8c9b985eadb23e7afa9,2b62ebd878222eaa7b5eb74f9620b4a5d3c745415060704c812e9e1c97a5837c,9e9175a0daf1dc3797983deddd95e3472a4f8ddc7c4394e83830ccb6037976e2,342,342,0,0,0,0
3,2403,120.15,2b50d720b796ca01cf653704dc1e324d26c249fccaa930afbde5cecd0b1a869e,2b50d720b796ca01cf653704dc1e324d26c249fccaa930afbde5cecd0b1a869e,cde816b13be2f93e58c4029b993ffdbe7b4027f3284e5cae4cad1140d484614a,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,3aedff1590bfcf8f89c2d23a5fdf86c29110c4f601db710c04d40dffb0a52e7f,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.762962020933628,7.762962020933628,0,cf6e1b789ced8a51de6ab7a05a614007ee8c0e5d3843a83abda61fe32e9c41df,8be587b5d6bc9929c9318d89e47e7ae6226207cc0810198eb06a1eee232c4812,ad13b9c4a6848a2f84bdd99a88194c458af3a11c925247106c914d34d2e2bc39,eea7281b200bccc63fd2735ac2db07f8df1b357b64fc16a3a66bc9823d0789ae,0f04bc4918a383fee15da263e72d388c5f57aff8c8ae07565a2030eb559a7560,342,342,0,0,0,0
4,2404,120.2,5d74e38aede179c832898c16307cc34f739b8144af34ca9c6cea2d0ed5a5b119,5d74e38aede179c832898c16307cc34f739b8144af34ca9c6cea2d0ed5a5b119,6debf2bf3a37f4c066f603c94d1a6d8c68de9f48942886885d96a1575d05ee4d,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,8c718d369763848a43488b0a7b466cca0190c3f1309954d188c925a895bd65e6,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.452400866895914,7.452400866895914,0,7257ede803358f5eb831856f4c3007d26a86eac530bf3d223babfe28c5c7bfc1,ddba2eb6cb982802b45f59a26d82b6393cd903e38c0b70a4ade9ed8212c81707,fe12c4829e8ab5c9e05bdf901412cfe7e17d8b7eac062b3643b172d89f0580bf,7f0734314aa3c769690af9d8cbf9da14b45052d37c32b68c895a54582291d46c,1bfba36ae8d9e901d223ed50eb45c72a09f1b7ff86cf44541fbac1ae686bdb3e,342,342,0,0,0,0
5,2405,120.25,e03d923577e0360793a7577fe374a795b0b4a2f362f619902ab34f8d6e748ab7,e03d923577e0360793a7577fe374a795b0b4a2f362f619902ab34f8d6e748ab7,2e350c95fef3a58bb917648f2df9786e85dddaeb852e14b49e08c8e88a602b97,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,15b381299331a181a208e124aa23f1452d9cb487fe694530494f4ea170abfd2a,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.179195690900087,8.179195690900087,0,eae1184d7049abd79f1b6996480d09246578753fbbfca99f5e4a3e822c5e03f3,7a2660ebf9e1f7c7448c3559bfeed2e1d7ed1c781eea5ef0a7285e6a69193d85,9fed6bcf96bcde9550180de1c38c8b3f96c8b7b152b9e9583e3c7e707e301337,39424aba86223fdcdec95844855acb8aa73835ff3a400f286f1791d2d3441406,547fd65fa5e9753169190dd827d9167027835f235cf40a43ad4c558d3c6b2f50,342,342,0,0,0,0
6,2406,120.3,788ea0e62340867c410d8325219d686d73dfdd5c937280194399ebcc1ccd283b,788ea0e62340867c410d8325219d686d73dfdd5c937280194399ebcc1ccd283b,c0a319fda2a1f6e8b0e089201da51a62daa037d2b2e6573dfc83d763981f02c7,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,5b91a42420f1cb9baa80edc32aea011cca51c4c5e4c7c09f332e6bca573f7b8b,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.399550173431635,7.399550173431635,0,354b12b4aab42109ee77d9ff8a57a50a3fc965aee6023241a95057af26bff202,293d145fad1b1c2f30c775fb3f5f48fbba7241be30e83c32798af56da19432a6,51bd766de9d8e4dc0ec3749762f7c8c691d7218b3f1c8316c90dec44b9fc7959,6709f71bcc20e698af611f09bdc64b6467d322bced033062816b85374ab61851,bc7c4384f3b9d671bb34bc4afaf4bc9c35e08f696ba1c8a345dc084bd6e094ae,342,342,0,0,0,0
7,2407,120.35,ac6ff6f20f32172b2f3061b1a3a90b021b63a13653152720cffa112e5443f83d,ac6ff6f20f32172b2f3061b1a3a90b021b63a13653152720cffa112e5443f83d,42552dce4688489a90d9fc449e790a0e06b3b52d25343b88b52dafebe390bbc4,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,63c366c2f59a019aa04824bdd869de0619ff38568db0169a24696cb6d658db52,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.331297732889652,7.331297732889652,0,a4cb08cd13367af7543709a610fcd6ffcf6df49b4357d9e1c13f948990e998e4,8afc41a8c1bf60dce646a1e00f45c658a3f0ccda2137c0567aaeddab7f94ae72,ff487d1af6bf2501f64f1bb65d46b2cef4649934d82df9d8acab39a3a514c9b7,7dba295f621f6542b0e68c69814fa7136de2f36935c5203026826bb4e9f39c4c,7109c3697536fd32a73cd9cebfd5781b1c55403320f6cc243503a822533bdd6a,342,342,0,0,0,0
8,2408,120.4,5f08c3a19947df135f22a5bb21fbf664a04ad75e34a231668a222ad06f7e41b1,5f08c3a19947df135f22a5bb21fbf664a04ad75e34a231668a222ad06f7e41b1,f9e7cba0baf8b329f2d49420603daecdbbee9edde80e5429ab6aa801f6879ef2,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,c6e9632d7b8b88879ac2abff235f6fec39a1a87ef7c8c03c6c76fba6591823cd,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.147015236318111,8.147015236318111,0,7694caf8ee7dc8a03a0965719369b0618105c3982386464b62f08f15be0d2f7a,18e868fd6a7d72dcf29f6b5d10c648fe52ad8f5f7858f7d46ca7e3b1a7bbcb68,b22fd983d92e6cbf97c32fb5c82ef7bf746c7d61c2b13787e136c533695ed165,2ab69342c7d66dcbb0080bd756b561317d24ef0982124254c70e920ab59de17a,bdee73806aae6de695f91aa9970b8cd51d9e5bf129638edcbbc92f4ada08bf10,342,342,0,0,0,0
9,2409,120.45,ca55aafc2ba3b7e3efb8c46dd760ff557ae14022e2bea062352abb88db05d31e,ca55aafc2ba3b7e3efb8c46dd760ff557ae14022e2bea062352abb88db05d31e,e5e17b514c0933c303170463cff009133f4f810b19c85c358ac376426a126411,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,52f0d09cb1081ba445be1c5423eae567143ff75f346cc88767a0e53ec8174c20,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.687909994274378,7.687909994274378,0,cea94d958e07b5ce2c27d9c265cda79c8aac3cab00165232d7181ed8e2df3f96,fd124ed0891f7521f96d213e8733215725bfbd0783c70dfc2c33209a9640d37f,4a8e89f9f189583729dc4092cd9e00e0a487bee37777daa8e0c2d0fa87fd9e04,cb323c07a6a1263b9e4a3bba0c93f9d2b5426b746f4526366b9a8becd15eaff7,abe3ec3d81538d6717970633f4a82c48c32f910e3d438e2f3b8d1f1eb1818721,342,342,0,0,0,0
