window,group,event_frame_zero_based,metric_frame_index,timestamp_ns,track_id,source_code,backend_visible_age_at_event,backend_visible_future_including_event,backend_visible_full_lifetime,quality_at_event,u,v,left_censored,right_censored
a09_6000_6800,positive,2,5,1542889046271565680,734,20,1,3,3,0.8679164052009583,864.6814575195312,395.1327819824219,False,True
a09_6000_6800,positive,3,7,1542889046371444368,734,20,2,2,3,0.8783126473426819,868.9052124023438,403.56634521484375,False,True
a09_6000_6800,positive,4,9,1542889046471564144,734,20,3,1,3,0.87857586145401,872.746826171875,412.18804931640625,False,True
a06_s045_d045,positive,2,5,1542883357072892992,10000000,20,1,3,3,0.8581097722053528,154.51239013671875,493.1759033203125,False,True
a06_s045_d045,positive,3,7,1542883357172986784,10000000,20,2,2,3,0.8787592649459839,152.74893188476562,498.469482421875,False,True
a06_s045_d045,positive,3,7,1542883357172986784,10000001,20,1,2,2,0.8593462705612183,109.60887145996094,569.985107421875,False,True
a06_s045_d045,positive,3,7,1542883357172986784,10000002,20,1,2,2,0.8574221134185791,104.64714050292969,579.1261596679688,False,True
a06_s045_d045,positive,3,7,1542883357172986784,10000003,20,1,2,2,0.864215075969696,650.053466796875,132.33262634277344,False,True
a06_s045_d045,positive,3,7,1542883357172986784,10000004,20,1,2,2,0.8604463934898376,643.2156982421875,145.34530639648438,False,True
a06_s045_d045,positive,4,9,1542883357273861504,10000000,20,3,1,3,0.8803825378417969,151.6360321044922,503.4522705078125,False,True
a06_s045_d045,positive,4,9,1542883357273861504,10000001,20,2,1,2,0.8801175951957703,109.11793518066406,575.848876953125,False,True
a06_s045_d045,positive,4,9,1542883357273861504,10000002,20,2,1,2,0.8776372075080872,104.18265533447266,584.8109741210938,False,True
a06_s045_d045,positive,4,9,1542883357273861504,10000003,20,2,1,2,0.8868346810340881,644.4028930664062,130.59439086914062,False,True
a06_s045_d045,positive,4,9,1542883357273861504,10000004,20,2,1,2,0.8808509707450867,637.25341796875,143.7058868408203,False,True
a06_s045_d045,positive,4,9,1542883357273861504,10000005,20,1,1,1,0.8770374655723572,270.9211730957031,313.6261291503906,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000000,20,1,2,2,0.8575952053070068,412.0138854980469,135.3865203857422,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000001,20,1,3,3,0.8572421073913574,469.3414611816406,136.12428283691406,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000002,20,1,3,3,0.8585827946662903,255.3585205078125,201.45692443847656,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000003,20,1,3,3,0.8574962019920349,233.03993225097656,207.17274475097656,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000004,20,1,3,3,0.8571944236755371,269.68865966796875,213.60641479492188,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000005,20,1,1,1,0.8562650084495544,955.6878662109375,262.4383544921875,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000006,20,1,2,2,0.8554394841194153,823.9898681640625,271.4178771972656,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000007,20,1,3,3,0.8569093346595764,819.5836181640625,450.52435302734375,False,True
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,10000008,20,1,3,3,0.855921745300293,310.5738220214844,236.92945861816406,False,True
