timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1542888796.0629787,1,0,0,0,0,0,0,0,-1
1542888797.0629787,1,0,0,0,0,0,0,0,-1
1542888798.0629787,1,0,0,0,0,0,0,0,-1
1542888799.0629787,1,1,1,1,1,1,1,1,0
1542888800.0629787,1,1,1,1,1,1,1,1,0
1542888801.0629787,1,1,1,1,1,1,1,1,0
1542888802.0629787,1,1,1,1,1,1,1,1,0
1542888803.0629787,1,1,1,1,1,1,1,1,0
1542888804.0629787,1,1,1,1,1,1,1,1,0
1542888805.0629787,1,1,1,1,1,1,1,1,0
1542888806.0629787,1,1,1,1,1,1,1,1,0
1542888807.0629787,1,1,1,1,1,1,1,1,0
1542888808.0629787,1,1,1,1,1,1,1,1,0
1542888809.0629787,1,1,1,1,1,1,1,1,0
1542888810.0629787,1,1,1,1,1,1,1,1,0
1542888811.0629787,1,1,1,1,1,1,1,1,0
1542888812.0629787,1,1,1,1,1,1,1,1,0
1542888813.0629787,1,1,1,1,1,1,1,1,0
1542888814.0629787,1,1,1,1,1,1,1,1,0
1542888815.0629787,1,1,1,1,1,1,1,1,0
1542888816.0629787,1,1,1,1,1,1,1,1,0
1542888817.0629787,1,1,1,1,1,1,1,1,0
1542888818.0629787,1,1,1,1,1,1,1,1,0
1542888819.0629787,1,1,1,1,1,1,1,1,0
1542888820.0629787,1,1,1,1,1,1,1,1,0
1542888821.0629787,1,1,1,1,1,1,1,1,0
1542888822.0629787,1,1,1,1,1,1,1,1,0
1542888823.0629787,1,1,1,1,1,1,1,1,0
1542888824.0629787,1,1,1,1,1,1,1,1,0
1542888825.0629787,1,1,1,1,1,1,1,1,0
1542888826.0629787,1,1,1,1,1,1,1,1,0
1542888827.0629787,1,1,1,1,1,1,1,1,0
1542888828.0629787,1,1,1,1,1,1,1,1,0
1542888829.0629787,1,1,1,1,1,1,1,1,0
1542888830.0629787,1,1,1,1,1,1,1,1,0
1542888831.0629787,1,1,1,1,1,1,1,1,0
1542888832.0629787,1,1,1,1,1,1,1,1,0
1542888833.0629787,1,1,1,1,1,1,1,1,0
1542888834.0629787,1,1,1,1,1,1,1,1,0
1542888835.0629787,1,1,1,1,1,1,1,1,0
1542888836.0629787,1,1,1,1,1,1,1,1,0
1542888837.0629787,1,1,1,1,1,1,1,1,0
1542888838.0629787,1,1,1,1,1,1,1,1,0
