protocol_version,method_profile,dataset_family,sequence,window_start,window_end,proposed_arm,accepted_lineage_count,applicability_rule,resolution_time,drop_arm,classical_arm,resolution,evidence_path,resolver_hash
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,afrl,bus_outside,45.0,90.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=1,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A01,135.0,180.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=2,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A01,810.0,855.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=3,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A02,225.0,270.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=4,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A03,45.0,90.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=5,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A04,90.0,135.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=6,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A07,45.0,90.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=7,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A07,90.0,135.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=8,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A08,90.0,135.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=9,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,aqualoc_archaeology,A10,315.0,360.0,P_legacy_nativeq_xfeat_seedchain_v3,,accepted_learned_born_lineage_count>0,,D_legacy_exact_lineage_drop_v3,,PENDING_APPLICABILITY,papers/ieee_sensors_journal_experiments/p07/d_applicability_queue_v1.csv#slot_index=10,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb
