timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1523969519.4096644,1,0,0,0,0,0,0,0,-1
1523969520.4096644,1,0,0,0,0,0,0,0,-1
1523969521.4096644,1,1,1,1,1,1,1,1,0
1523969522.4096644,1,1,1,1,1,1,1,1,0
1523969523.4096644,1,1,1,1,1,1,1,1,0
1523969524.4096644,1,1,1,1,1,1,1,1,0
1523969525.4096644,1,1,1,1,1,1,1,1,0
1523969526.4096644,1,1,1,1,1,1,1,1,0
1523969527.4096644,1,1,1,1,1,1,1,1,0
1523969528.4096644,1,1,1,1,1,1,1,1,0
1523969529.4096644,1,1,1,1,1,1,1,1,0
1523969530.4096644,1,1,1,1,1,1,1,1,0
1523969531.4096644,1,1,1,1,1,1,1,1,0
1523969532.4096644,1,1,1,1,1,1,1,1,0
1523969533.4096644,1,1,1,1,1,1,1,1,0
1523969534.4096644,1,1,1,1,1,1,1,1,0
1523969535.4096644,1,1,1,1,1,1,1,1,0
1523969536.4096644,1,1,1,1,1,1,1,1,0
1523969537.4096644,1,1,1,1,1,1,1,1,0
1523969538.4096644,1,1,1,1,1,1,1,1,0
1523969539.4096644,1,1,1,1,1,1,1,1,0
1523969540.4096644,1,1,1,1,1,1,1,1,0
1523969541.4096644,1,1,1,1,1,1,1,1,0
1523969542.4096644,1,1,1,1,1,1,1,1,0
1523969543.4096644,1,1,1,1,1,1,1,1,0
1523969544.4096644,1,1,1,1,1,1,1,1,0
1523969545.4096644,1,1,1,1,1,1,1,1,0
1523969546.4096644,1,1,1,1,1,1,1,1,0
1523969547.4096644,1,1,1,1,1,1,1,1,0
1523969548.4096644,1,1,1,1,1,1,1,1,0
1523969549.4096644,1,1,1,1,1,1,1,1,0
1523969550.4096644,1,1,1,1,1,1,1,1,0
1523969551.4096644,1,1,1,1,1,1,1,1,0
1523969552.4096644,1,1,1,1,1,1,1,1,0
1523969553.4096644,1,1,1,1,1,1,1,1,0
1523969554.4096644,1,1,1,1,1,1,1,1,0
1523969555.4096644,1,1,1,1,1,1,1,1,0
1523969556.4096644,1,1,1,1,1,1,1,1,0
1523969557.4096644,1,1,1,1,1,1,1,1,0
1523969558.4096644,1,1,1,1,1,1,1,1,0
1523969559.4096644,1,1,1,1,1,1,1,1,0
1523969560.4096644,1,1,1,1,1,1,1,1,0
1523969561.4096644,1,1,1,1,1,1,1,1,0
1523969562.4096644,1,1,1,1,1,1,1,1,0
1523969563.4096644,1,1,1,1,1,1,1,1,0
